source,target,conf,realConf
AgencyID,prospect_AgeID,0,1
AgencyID,prospect_LaNa,0,0
AgencyID,prospect_FirNa,0,0
AgencyID,prospect_MidIn,0,0
AgencyID,prospect_Ge,0,0
AgencyID,prospect_AddLi1,0,0
AgencyID,prospect_AdLi2,0,0
AgencyID,prospect_PosCo,0,0
AgencyID,prospect_Ci,0,0
AgencyID,prospect_St,0,0
AgencyID,prospect_Coun,0,0
AgencyID,prospect_Ph,0,0
AgencyID,prospect_In,0,0
AgencyID,prospect_NumC,0,0
AgencyID,prospect_NuChi,0,0
AgencyID,prospect_MariSt,0,0
AgencyID,prospect_A,0,0
AgencyID,prospect_CreRa,0,0
AgencyID,prospect_OwOReF,0,0
AgencyID,prospect_Empl,0,0
AgencyID,prospect_NuCreCar,0,0
AgencyID,prospect_NeWor,0,0
LastName,prospect_AgeID,0,0
LastName,prospect_LaNa,0,1
LastName,prospect_FirNa,0,0
LastName,prospect_MidIn,0,0
LastName,prospect_Ge,0,0
LastName,prospect_AddLi1,0,0
LastName,prospect_AdLi2,0,0
LastName,prospect_PosCo,0,0
LastName,prospect_Ci,0.9400794327032038,0
LastName,prospect_St,0,0
LastName,prospect_Coun,0,0
LastName,prospect_Ph,0,0
LastName,prospect_In,0,0
LastName,prospect_NumC,0,0
LastName,prospect_NuChi,0,0
LastName,prospect_MariSt,0,0
LastName,prospect_A,0,0
LastName,prospect_CreRa,0,0
LastName,prospect_OwOReF,0,0
LastName,prospect_Empl,0,0
LastName,prospect_NuCreCar,0,0
LastName,prospect_NeWor,0,0
FirstName,prospect_AgeID,0,0
FirstName,prospect_LaNa,0,0
FirstName,prospect_FirNa,0,1
FirstName,prospect_MidIn,0,0
FirstName,prospect_Ge,0,0
FirstName,prospect_AddLi1,0,0
FirstName,prospect_AdLi2,0,0
FirstName,prospect_PosCo,0,0
FirstName,prospect_Ci,0.9640802701663793,0
FirstName,prospect_St,0,0
FirstName,prospect_Coun,0,0
FirstName,prospect_Ph,0,0
FirstName,prospect_In,0,0
FirstName,prospect_NumC,0,0
FirstName,prospect_NuChi,0,0
FirstName,prospect_MariSt,0,0
FirstName,prospect_A,0,0
FirstName,prospect_CreRa,0,0
FirstName,prospect_OwOReF,0,0
FirstName,prospect_Empl,0,0
FirstName,prospect_NuCreCar,0,0
FirstName,prospect_NeWor,0,0
MiddleInitial,prospect_AgeID,0,0
MiddleInitial,prospect_LaNa,0,0
MiddleInitial,prospect_FirNa,0,0
MiddleInitial,prospect_MidIn,0.9977391417976934,1
MiddleInitial,prospect_Ge,0.9468573111751784,0
MiddleInitial,prospect_AddLi1,0,0
MiddleInitial,prospect_AdLi2,0,0
MiddleInitial,prospect_PosCo,0,0
MiddleInitial,prospect_Ci,0,0
MiddleInitial,prospect_St,0,0
MiddleInitial,prospect_Coun,0,0
MiddleInitial,prospect_Ph,0,0
MiddleInitial,prospect_In,0,0
MiddleInitial,prospect_NumC,0,0
MiddleInitial,prospect_NuChi,0,0
MiddleInitial,prospect_MariSt,0.8144331006697803,0
MiddleInitial,prospect_A,0,0
MiddleInitial,prospect_CreRa,0,0
MiddleInitial,prospect_OwOReF,0.7702455869479808,0
MiddleInitial,prospect_Empl,0,0
MiddleInitial,prospect_NuCreCar,0,0
MiddleInitial,prospect_NeWor,0,0
Gender,prospect_AgeID,0,0
Gender,prospect_LaNa,0,0
Gender,prospect_FirNa,0,0
Gender,prospect_MidIn,0.9478212443422284,0
Gender,prospect_Ge,0.9991468961027224,1
Gender,prospect_AddLi1,0,0
Gender,prospect_AdLi2,0,0
Gender,prospect_PosCo,0,0
Gender,prospect_Ci,0,0
Gender,prospect_St,0,0
Gender,prospect_Coun,0,0
Gender,prospect_Ph,0,0
Gender,prospect_In,0,0
Gender,prospect_NumC,0,0
Gender,prospect_NuChi,0,0
Gender,prospect_MariSt,0.9013430530590976,0
Gender,prospect_A,0,0
Gender,prospect_CreRa,0,0
Gender,prospect_OwOReF,0.8893914409108755,0
Gender,prospect_Empl,0,0
Gender,prospect_NuCreCar,0,0
Gender,prospect_NeWor,0,0
AddressLine1,prospect_AgeID,0,0
AddressLine1,prospect_LaNa,0,0
AddressLine1,prospect_FirNa,0,0
AddressLine1,prospect_MidIn,0,0
AddressLine1,prospect_Ge,0,0
AddressLine1,prospect_AddLi1,0,1
AddressLine1,prospect_AdLi2,0,0
AddressLine1,prospect_PosCo,0,0
AddressLine1,prospect_Ci,0,0
AddressLine1,prospect_St,0,0
AddressLine1,prospect_Coun,0,0
AddressLine1,prospect_Ph,0,0
AddressLine1,prospect_In,0,0
AddressLine1,prospect_NumC,0,0
AddressLine1,prospect_NuChi,0,0
AddressLine1,prospect_MariSt,0,0
AddressLine1,prospect_A,0,0
AddressLine1,prospect_CreRa,0,0
AddressLine1,prospect_OwOReF,0,0
AddressLine1,prospect_Empl,0,0
AddressLine1,prospect_NuCreCar,0,0
AddressLine1,prospect_NeWor,0,0
AddressLine2,prospect_AgeID,0,0
AddressLine2,prospect_LaNa,0,0
AddressLine2,prospect_FirNa,0,0
AddressLine2,prospect_MidIn,0,0
AddressLine2,prospect_Ge,0,0
AddressLine2,prospect_AddLi1,0,0
AddressLine2,prospect_AdLi2,0,1
AddressLine2,prospect_PosCo,0,0
AddressLine2,prospect_Ci,0,0
AddressLine2,prospect_St,0,0
AddressLine2,prospect_Coun,0,0
AddressLine2,prospect_Ph,0,0
AddressLine2,prospect_In,0,0
AddressLine2,prospect_NumC,0,0
AddressLine2,prospect_NuChi,0,0
AddressLine2,prospect_MariSt,0,0
AddressLine2,prospect_A,0,0
AddressLine2,prospect_CreRa,0,0
AddressLine2,prospect_OwOReF,0,0
AddressLine2,prospect_Empl,0,0
AddressLine2,prospect_NuCreCar,0,0
AddressLine2,prospect_NeWor,0,0
PostalCode,prospect_AgeID,0,0
PostalCode,prospect_LaNa,0,0
PostalCode,prospect_FirNa,0,0
PostalCode,prospect_MidIn,0,0
PostalCode,prospect_Ge,0,0
PostalCode,prospect_AddLi1,0,0
PostalCode,prospect_AdLi2,0,0
PostalCode,prospect_PosCo,0,1
PostalCode,prospect_Ci,0,0
PostalCode,prospect_St,0,0
PostalCode,prospect_Coun,0,0
PostalCode,prospect_Ph,0,0
PostalCode,prospect_In,0,0
PostalCode,prospect_NumC,0,0
PostalCode,prospect_NuChi,0,0
PostalCode,prospect_MariSt,0,0
PostalCode,prospect_A,0,0
PostalCode,prospect_CreRa,0,0
PostalCode,prospect_OwOReF,0,0
PostalCode,prospect_Empl,0,0
PostalCode,prospect_NuCreCar,0,0
PostalCode,prospect_NeWor,0,0
City,prospect_AgeID,0,0
City,prospect_LaNa,0,0
City,prospect_FirNa,0,0
City,prospect_MidIn,0,0
City,prospect_Ge,0,0
City,prospect_AddLi1,0,0
City,prospect_AdLi2,0,0
City,prospect_PosCo,0,0
City,prospect_Ci,0.9851868360610807,1
City,prospect_St,0,0
City,prospect_Coun,0,0
City,prospect_Ph,0,0
City,prospect_In,0,0
City,prospect_NumC,0,0
City,prospect_NuChi,0,0
City,prospect_MariSt,0,0
City,prospect_A,0,0
City,prospect_CreRa,0,0
City,prospect_OwOReF,0,0
City,prospect_Empl,0,0
City,prospect_NuCreCar,0,0
City,prospect_NeWor,0,0
State,prospect_AgeID,0,0
State,prospect_LaNa,0,0
State,prospect_FirNa,0,0
State,prospect_MidIn,0,0
State,prospect_Ge,0,0
State,prospect_AddLi1,0,0
State,prospect_AdLi2,0,0
State,prospect_PosCo,0,0
State,prospect_Ci,0,0
State,prospect_St,0.9984966665406294,1
State,prospect_Coun,0,0
State,prospect_Ph,0,0
State,prospect_In,0,0
State,prospect_NumC,0,0
State,prospect_NuChi,0,0
State,prospect_MariSt,0,0
State,prospect_A,0,0
State,prospect_CreRa,0,0
State,prospect_OwOReF,0,0
State,prospect_Empl,0,0
State,prospect_NuCreCar,0,0
State,prospect_NeWor,0,0
Country,prospect_AgeID,0,0
Country,prospect_LaNa,0,0
Country,prospect_FirNa,0,0
Country,prospect_MidIn,0,0
Country,prospect_Ge,0,0
Country,prospect_AddLi1,0,0
Country,prospect_AdLi2,0,0
Country,prospect_PosCo,0,0
Country,prospect_Ci,0,0
Country,prospect_St,0,0
Country,prospect_Coun,1.0,1
Country,prospect_Ph,0,0
Country,prospect_In,0,0
Country,prospect_NumC,0,0
Country,prospect_NuChi,0,0
Country,prospect_MariSt,0,0
Country,prospect_A,0,0
Country,prospect_CreRa,0,0
Country,prospect_OwOReF,0,0
Country,prospect_Empl,0,0
Country,prospect_NuCreCar,0,0
Country,prospect_NeWor,0,0
Phone,prospect_AgeID,0,0
Phone,prospect_LaNa,0,0
Phone,prospect_FirNa,0,0
Phone,prospect_MidIn,0,0
Phone,prospect_Ge,0,0
Phone,prospect_AddLi1,0,0
Phone,prospect_AdLi2,0,0
Phone,prospect_PosCo,0,0
Phone,prospect_Ci,0,0
Phone,prospect_St,0,0
Phone,prospect_Coun,0,0
Phone,prospect_Ph,0,1
Phone,prospect_In,0,0
Phone,prospect_NumC,0,0
Phone,prospect_NuChi,0,0
Phone,prospect_MariSt,0,0
Phone,prospect_A,0,0
Phone,prospect_CreRa,0,0
Phone,prospect_OwOReF,0,0
Phone,prospect_Empl,0,0
Phone,prospect_NuCreCar,0,0
Phone,prospect_NeWor,0,0
Income,prospect_AgeID,0,0
Income,prospect_LaNa,0,0
Income,prospect_FirNa,0,0
Income,prospect_MidIn,0,0
Income,prospect_Ge,0,0
Income,prospect_AddLi1,0,0
Income,prospect_AdLi2,0,0
Income,prospect_PosCo,0,0
Income,prospect_Ci,0,0
Income,prospect_St,0,0
Income,prospect_Coun,0,0
Income,prospect_Ph,0,0
Income,prospect_In,0.9753503309402655,1
Income,prospect_NumC,0,0
Income,prospect_NuChi,0,0
Income,prospect_MariSt,0,0
Income,prospect_A,0,0
Income,prospect_CreRa,0,0
Income,prospect_OwOReF,0,0
Income,prospect_Empl,0,0
Income,prospect_NuCreCar,0,0
Income,prospect_NeWor,0.9736914109273338,0
NumberCars,prospect_AgeID,0,0
NumberCars,prospect_LaNa,0,0
NumberCars,prospect_FirNa,0,0
NumberCars,prospect_MidIn,0,0
NumberCars,prospect_Ge,0,0
NumberCars,prospect_AddLi1,0,0
NumberCars,prospect_AdLi2,0,0
NumberCars,prospect_PosCo,0,0
NumberCars,prospect_Ci,0,0
NumberCars,prospect_St,0,0
NumberCars,prospect_Coun,0,0
NumberCars,prospect_Ph,0,0
NumberCars,prospect_In,0,0
NumberCars,prospect_NumC,0.9712552629208062,1
NumberCars,prospect_NuChi,0.9736040924508427,0
NumberCars,prospect_MariSt,0,0
NumberCars,prospect_A,0.8516832606131107,0
NumberCars,prospect_CreRa,0,0
NumberCars,prospect_OwOReF,0,0
NumberCars,prospect_Empl,0,0
NumberCars,prospect_NuCreCar,0.9123726232854358,0
NumberCars,prospect_NeWor,0,0
NumberChildren,prospect_AgeID,0,0
NumberChildren,prospect_LaNa,0,0
NumberChildren,prospect_FirNa,0,0
NumberChildren,prospect_MidIn,0,0
NumberChildren,prospect_Ge,0,0
NumberChildren,prospect_AddLi1,0,0
NumberChildren,prospect_AdLi2,0,0
NumberChildren,prospect_PosCo,0,0
NumberChildren,prospect_Ci,0,0
NumberChildren,prospect_St,0,0
NumberChildren,prospect_Coun,0,0
NumberChildren,prospect_Ph,0,0
NumberChildren,prospect_In,0,0
NumberChildren,prospect_NumC,0.98247579430213,0
NumberChildren,prospect_NuChi,0.9782803824775318,1
NumberChildren,prospect_MariSt,0,0
NumberChildren,prospect_A,0.8470400211823267,0
NumberChildren,prospect_CreRa,0,0
NumberChildren,prospect_OwOReF,0,0
NumberChildren,prospect_Empl,0,0
NumberChildren,prospect_NuCreCar,0.9012917787793435,0
NumberChildren,prospect_NeWor,0,0
MaritalStatus,prospect_AgeID,0,0
MaritalStatus,prospect_LaNa,0,0
MaritalStatus,prospect_FirNa,0,0
MaritalStatus,prospect_MidIn,0.9005420809022068,0
MaritalStatus,prospect_Ge,0.8212968271438454,0
MaritalStatus,prospect_AddLi1,0,0
MaritalStatus,prospect_AdLi2,0,0
MaritalStatus,prospect_PosCo,0,0
MaritalStatus,prospect_Ci,0,0
MaritalStatus,prospect_St,0,0
MaritalStatus,prospect_Coun,0,0
MaritalStatus,prospect_Ph,0,0
MaritalStatus,prospect_In,0,0
MaritalStatus,prospect_NumC,0,0
MaritalStatus,prospect_NuChi,0,0
MaritalStatus,prospect_MariSt,0.9982896620292431,1
MaritalStatus,prospect_A,0,0
MaritalStatus,prospect_CreRa,0,0
MaritalStatus,prospect_OwOReF,0.6822710435560096,0
MaritalStatus,prospect_Empl,0,0
MaritalStatus,prospect_NuCreCar,0,0
MaritalStatus,prospect_NeWor,0,0
Age,prospect_AgeID,0,0
Age,prospect_LaNa,0,0
Age,prospect_FirNa,0,0
Age,prospect_MidIn,0,0
Age,prospect_Ge,0,0
Age,prospect_AddLi1,0,0
Age,prospect_AdLi2,0,0
Age,prospect_PosCo,0,0
Age,prospect_Ci,0,0
Age,prospect_St,0,0
Age,prospect_Coun,0,0
Age,prospect_Ph,0,0
Age,prospect_In,0,0
Age,prospect_NumC,0.8113644728791861,0
Age,prospect_NuChi,0.8517579834797787,0
Age,prospect_MariSt,0,0
Age,prospect_A,0.9915037863938599,1
Age,prospect_CreRa,0,0
Age,prospect_OwOReF,0,0
Age,prospect_Empl,0,0
Age,prospect_NuCreCar,0.9135123513507708,0
Age,prospect_NeWor,0,0
CreditRating,prospect_AgeID,0,0
CreditRating,prospect_LaNa,0,0
CreditRating,prospect_FirNa,0,0
CreditRating,prospect_MidIn,0,0
CreditRating,prospect_Ge,0,0
CreditRating,prospect_AddLi1,0,0
CreditRating,prospect_AdLi2,0,0
CreditRating,prospect_PosCo,0,0
CreditRating,prospect_Ci,0,0
CreditRating,prospect_St,0,0
CreditRating,prospect_Coun,0,0
CreditRating,prospect_Ph,0,0
CreditRating,prospect_In,0,0
CreditRating,prospect_NumC,0,0
CreditRating,prospect_NuChi,0,0
CreditRating,prospect_MariSt,0,0
CreditRating,prospect_A,0,0
CreditRating,prospect_CreRa,0.9363345253731643,1
CreditRating,prospect_OwOReF,0,0
