source,target,conf,realConf
AgencyID,prospect_gncd,0.9896329018496115,1
AgencyID,prospect_lstnm,0,0
AgencyID,prospect_frstnm,0,0
AgencyID,prospect_mddlntl,0,0
AgencyID,prospect_gndr,0,0
AgencyID,prospect_ddrssln1,0,0
AgencyID,prospect_ddrssln2,0,0
AgencyID,prospect_pstlcd,0,0
AgencyID,prospect_ct,0,0
AgencyID,prospect_stt,0,0
AgencyID,prospect_cntr,0,0
AgencyID,prospect_phn,0,0
AgencyID,prospect_ncm,0,0
AgencyID,prospect_nmbrcrs,0,0
AgencyID,prospect_nmbrchldrn,0,0
AgencyID,prospect_mrtlstts,0,0
AgencyID,prospect_g,0,0
AgencyID,prospect_crdtrtng,0,0
AgencyID,prospect_wnrrntflg,0,0
AgencyID,prospect_mplr,0,0
AgencyID,prospect_nmbrcrdtcrds,0,0
AgencyID,prospect_ntwrth,0,0
LastName,prospect_gncd,0,0
LastName,prospect_lstnm,0.9957222372967856,1
LastName,prospect_frstnm,0,0
LastName,prospect_mddlntl,0,0
LastName,prospect_gndr,0,0
LastName,prospect_ddrssln1,0,0
LastName,prospect_ddrssln2,0,0
LastName,prospect_pstlcd,0,0
LastName,prospect_ct,0,0
LastName,prospect_stt,0,0
LastName,prospect_cntr,0,0
LastName,prospect_phn,0,0
LastName,prospect_ncm,0,0
LastName,prospect_nmbrcrs,0,0
LastName,prospect_nmbrchldrn,0,0
LastName,prospect_mrtlstts,0,0
LastName,prospect_g,0,0
LastName,prospect_crdtrtng,0,0
LastName,prospect_wnrrntflg,0,0
LastName,prospect_mplr,0,0
LastName,prospect_nmbrcrdtcrds,0,0
LastName,prospect_ntwrth,0,0
FirstName,prospect_gncd,0,0
FirstName,prospect_lstnm,0,0
FirstName,prospect_frstnm,0.9674794764675687,1
FirstName,prospect_mddlntl,0,0
FirstName,prospect_gndr,0,0
FirstName,prospect_ddrssln1,0,0
FirstName,prospect_ddrssln2,0,0
FirstName,prospect_pstlcd,0,0
FirstName,prospect_ct,0.9953136948312119,0
FirstName,prospect_stt,0,0
FirstName,prospect_cntr,0,0
FirstName,prospect_phn,0,0
FirstName,prospect_ncm,0,0
FirstName,prospect_nmbrcrs,0,0
FirstName,prospect_nmbrchldrn,0,0
FirstName,prospect_mrtlstts,0,0
FirstName,prospect_g,0,0
FirstName,prospect_crdtrtng,0,0
FirstName,prospect_wnrrntflg,0,0
FirstName,prospect_mplr,0.952410524758645,0
FirstName,prospect_nmbrcrdtcrds,0,0
FirstName,prospect_ntwrth,0,0
MiddleInitial,prospect_gncd,0,0
MiddleInitial,prospect_lstnm,0,0
MiddleInitial,prospect_frstnm,0,0
MiddleInitial,prospect_mddlntl,0.9968306437628585,1
MiddleInitial,prospect_gndr,0.9011801427969767,0
MiddleInitial,prospect_ddrssln1,0,0
MiddleInitial,prospect_ddrssln2,0,0
MiddleInitial,prospect_pstlcd,0,0
MiddleInitial,prospect_ct,0,0
MiddleInitial,prospect_stt,0,0
MiddleInitial,prospect_cntr,0,0
MiddleInitial,prospect_phn,0,0
MiddleInitial,prospect_ncm,0,0
MiddleInitial,prospect_nmbrcrs,0,0
MiddleInitial,prospect_nmbrchldrn,0,0
