source,target,conf,realConf
assay_id,assays_ASSI,0.6666666666666666,1
assay_id,assays_DOI,0.09395555555555556,0
assay_id,assays_Des,0.624,0
assay_id,assays_ASTY,0.00035555555555555557,0
assay_id,assays_ASSTET,0.0002666666666666667,0
assay_id,assays_ASSCATE,0,0
assay_id,assays_ASSOR,0.0026666666666666666,0
assay_id,assays_ASSTAI,0.0026666666666666666,0
assay_id,assays_ASSSTR,8.888888888888889e-05,0
assay_id,assays_ASSTIS,0.0036444444444444445,0
assay_id,assays_ASCETY,0.00017777777777777779,0
assay_id,assays_ASSUBCELFR,8.888888888888889e-05,0
assay_id,assays_T,0.0022222222222222222,0
assay_id,assays_RELTY,0.00035555555555555557,0
assay_id,assays_CONFSCO,0.00035555555555555557,0
assay_id,assays_CURB,0.0002666666666666667,0
assay_id,assays_SI,8.888888888888889e-05,0
assay_id,assays_SASI,0,0
assay_id,assays_CHI,0.6666666666666666,0
assay_id,assays_CI,0.00017777777777777779,0
assay_id,assays_BFOR,0.0007111111111111111,0
assay_id,assays_TISI,0.0035555555555555557,0
assay_id,assays_VARII,0,0
doc_id,assays_ASSI,0.28573333333333334,0
doc_id,assays_DOI,0.4932337844143724,1
doc_id,assays_Des,0.3052706552706553,0
doc_id,assays_ASTY,0.0018665422305179655,0
doc_id,assays_ASSTET,0.0013999066728884741,0
doc_id,assays_ASSCATE,0,0
doc_id,assays_ASSOR,0.013999066728884742,0
doc_id,assays_ASSTAI,0.013999066728884742,0
doc_id,assays_ASSSTR,0.0004666355576294914,0
doc_id,assays_ASSTIS,0.019132057862809144,0
doc_id,assays_ASCETY,0.0009332711152589828,0
doc_id,assays_ASSUBCELFR,0.0004666355576294914,0
doc_id,assays_T,0.011665888940737284,0
doc_id,assays_RELTY,0.0018665422305179655,0
doc_id,assays_CONFSCO,0.0018665422305179655,0
doc_id,assays_CURB,0.0013999066728884741,0
doc_id,assays_SI,0.0004666355576294914,0
doc_id,assays_SASI,0,0
doc_id,assays_CHI,0.28573333333333334,0
doc_id,assays_CI,0.0009332711152589828,0
doc_id,assays_BFOR,0.003733084461035931,0
doc_id,assays_TISI,0.018665422305179653,0
doc_id,assays_VARII,0,0
description,assays_ASSI,0.7073469772705838,0
description,assays_DOI,0.09968876733000094,0
description,assays_Des,0.6620767707252664,1
description,assays_ASTY,0.00037725172121097803,0
description,assays_ASSTET,0.00028293879090823354,0
description,assays_ASSCATE,0,0
description,assays_ASSOR,0.002829387909082335,0
description,assays_ASSTAI,0.002829387909082335,0
description,assays_ASSSTR,9.431293030274451e-05,0
description,assays_ASSTIS,0.003866830142412525,0
description,assays_ASCETY,0.00018862586060548902,0
description,assays_ASSUBCELFR,9.431293030274451e-05,0
description,assays_T,0.0023578232575686125,0
description,assays_RELTY,0.00037725172121097803,0
description,assays_CONFSCO,0.00037725172121097803,0
description,assays_CURB,0.00028293879090823354,0
description,assays_SI,9.431293030274451e-05,0
description,assays_SASI,0,0
description,assays_CHI,0.7073469772705838,0
description,assays_CI,0.00018862586060548902,0
description,assays_BFOR,0.0007545034424219561,0
description,assays_TISI,0.0037725172121097802,0
description,assays_VARII,0,0
assay_type,assays_ASSI,0.0005333333333333334,0
assay_type,assays_DOI,0.003784295175023652,0
assay_type,assays_Des,0.0005698005698005698,0
assay_type,assays_ASTY,1.0,1
assay_type,assays_ASSTET,0.75,0
assay_type,assays_ASSCATE,0,0
assay_type,assays_ASSOR,0.13333333333333333,0
assay_type,assays_ASSTAI,0.13333333333333333,0
assay_type,assays_ASSSTR,0.25,0
assay_type,assays_ASSTIS,0.0975609756097561,0
assay_type,assays_ASCETY,0.5,0
assay_type,assays_ASSUBCELFR,0.25,0
assay_type,assays_T,0.16,0
assay_type,assays_RELTY,1.0,0
assay_type,assays_CONFSCO,1.0,0
assay_type,assays_CURB,0.75,0
assay_type,assays_SI,0.25,0
assay_type,assays_SASI,0,0
assay_type,assays_CHI,0.0005333333333333334,0
assay_type,assays_CI,0.5,0
assay_type,assays_BFOR,0.5,0
assay_type,assays_TISI,0.1,0
assay_type,assays_VARII,0,0
assay_test_type,assays_ASSI,0.0076,0
assay_test_type,assays_DOI,0.05392620624408704,0
assay_test_type,assays_Des,0.00811965811965812,0
assay_test_type,assays_ASTY,0.07017543859649122,0
assay_test_type,assays_ASSTET,0.05263157894736842,1
assay_test_type,assays_ASSCATE,0,0
assay_test_type,assays_ASSOR,0.5263157894736842,0
assay_test_type,assays_ASSTAI,0.5263157894736842,0
assay_test_type,assays_ASSSTR,0.017543859649122806,0
assay_test_type,assays_ASSTIS,0.7192982456140351,0
assay_test_type,assays_ASCETY,0.03508771929824561,0
assay_test_type,assays_ASSUBCELFR,0.017543859649122806,0
assay_test_type,assays_T,0.43859649122807015,0
assay_test_type,assays_RELTY,0.07017543859649122,0
assay_test_type,assays_CONFSCO,0.07017543859649122,0
assay_test_type,assays_CURB,0.05263157894736842,0
assay_test_type,assays_SI,0.017543859649122806,0
assay_test_type,assays_SASI,0,0
assay_test_type,assays_CHI,0.0076,0
assay_test_type,assays_CI,0.03508771929824561,0
assay_test_type,assays_BFOR,0.14035087719298245,0
assay_test_type,assays_TISI,0.7017543859649122,0
assay_test_type,assays_VARII,0,0
assay_category,assays_ASSI,0,0
assay_category,assays_DOI,0,0
assay_category,assays_Des,0,0
assay_category,assays_ASTY,0,0
assay_category,assays_ASSTET,0,0
assay_category,assays_ASSCATE,0,1
assay_category,assays_ASSOR,0,0
assay_category,assays_ASSTAI,0,0
assay_category,assays_ASSSTR,0,0
assay_category,assays_ASSTIS,0,0
assay_category,assays_ASCETY,0,0
assay_category,assays_ASSUBCELFR,0,0
assay_category,assays_T,0,0
assay_category,assays_RELTY,0,0
assay_category,assays_CONFSCO,0,0
