source,target,conf,realConf
assay_id,assay_id,0.6666666666666666,1
assay_id,doc_id,0.09395555555555556,0
assay_id,description,0.624,0
assay_id,assay_type,0.00035555555555555557,0
assay_id,assay_test_type,0.0002666666666666667,0
assay_id,assay_category,0,0
assay_id,assay_organism,0.0026666666666666666,0
assay_id,assay_tax_id,0.0026666666666666666,0
assay_id,assay_strain,8.888888888888889e-05,0
assay_id,assay_tissue,0.0036444444444444445,0
assay_id,assay_cell_type,0.00017777777777777779,0
assay_id,assay_subcellular_fraction,8.888888888888889e-05,0
assay_id,tid,0.0022222222222222222,0
assay_id,relationship_type,0.00035555555555555557,0
assay_id,confidence_score,0.00035555555555555557,0
assay_id,curated_by,0.0002666666666666667,0
assay_id,src_id,8.888888888888889e-05,0
assay_id,src_assay_id,0,0
assay_id,chembl_id,0.6666666666666666,0
assay_id,cell_id,0.00017777777777777779,0
assay_id,bao_format,0.0007111111111111111,0
assay_id,tissue_id,0.0035555555555555557,0
assay_id,variant_id,0,0
doc_id,assay_id,0.28573333333333334,0
doc_id,doc_id,0.4932337844143724,1
doc_id,description,0.3052706552706553,0
doc_id,assay_type,0.0018665422305179655,0
doc_id,assay_test_type,0.0013999066728884741,0
doc_id,assay_category,0,0
doc_id,assay_organism,0.013999066728884742,0
doc_id,assay_tax_id,0.013999066728884742,0
doc_id,assay_strain,0.0004666355576294914,0
doc_id,assay_tissue,0.019132057862809144,0
doc_id,assay_cell_type,0.0009332711152589828,0
doc_id,assay_subcellular_fraction,0.0004666355576294914,0
doc_id,tid,0.011665888940737284,0
doc_id,relationship_type,0.0018665422305179655,0
doc_id,confidence_score,0.0018665422305179655,0
doc_id,curated_by,0.0013999066728884741,0
doc_id,src_id,0.0004666355576294914,0
doc_id,src_assay_id,0,0
doc_id,chembl_id,0.28573333333333334,0
doc_id,cell_id,0.0009332711152589828,0
doc_id,bao_format,0.003733084461035931,0
doc_id,tissue_id,0.018665422305179653,0
doc_id,variant_id,0,0
description,assay_id,0.727731418591112,0
description,doc_id,0.10256161459344071,0
description,description,0.6811566078012808,1
description,assay_type,0.00038812342324859306,0
description,assay_test_type,0.0002910925674364448,0
description,assay_category,0,0
description,assay_organism,0.002910925674364448,0
description,assay_tax_id,0.002910925674364448,0
description,assay_strain,9.703085581214826e-05,0
description,assay_tissue,0.003978265088298079,0
description,assay_cell_type,0.00019406171162429653,0
description,assay_subcellular_fraction,9.703085581214826e-05,0
description,tid,0.0024257713953037066,0
description,relationship_type,0.00038812342324859306,0
description,confidence_score,0.00038812342324859306,0
description,curated_by,0.0002910925674364448,0
description,src_id,9.703085581214826e-05,0
description,src_assay_id,0,0
description,chembl_id,0.727731418591112,0
description,cell_id,0.00019406171162429653,0
description,bao_format,0.0007762468464971861,0
description,tissue_id,0.0038812342324859306,0
description,variant_id,0,0
assay_type,assay_id,0.0005333333333333334,0
assay_type,doc_id,0.003784295175023652,0
assay_type,description,0.0005698005698005698,0
assay_type,assay_type,1.0,1
assay_type,assay_test_type,0.75,0
assay_type,assay_category,0,0
assay_type,assay_organism,0.13333333333333333,0
assay_type,assay_tax_id,0.13333333333333333,0
assay_type,assay_strain,0.25,0
assay_type,assay_tissue,0.0975609756097561,0
assay_type,assay_cell_type,0.5,0
assay_type,assay_subcellular_fraction,0.25,0
assay_type,tid,0.16,0
assay_type,relationship_type,1.0,0
assay_type,confidence_score,1.0,0
assay_type,curated_by,0.75,0
assay_type,src_id,0.25,0
assay_type,src_assay_id,0,0
assay_type,chembl_id,0.0005333333333333334,0
assay_type,cell_id,0.5,0
assay_type,bao_format,0.5,0
assay_type,tissue_id,0.1,0
assay_type,variant_id,0,0
assay_test_type,assay_id,0.0004,0
assay_test_type,doc_id,0.002838221381267739,0
assay_test_type,description,0.00042735042735042735,0
assay_test_type,assay_type,0.75,0
assay_test_type,assay_test_type,1.0,1
assay_test_type,assay_category,0,0
assay_test_type,assay_organism,0.1,0
assay_test_type,assay_tax_id,0.1,0
assay_test_type,assay_strain,0.3333333333333333,0
assay_test_type,assay_tissue,0.07317073170731707,0
assay_test_type,assay_cell_type,0.6666666666666666,0
assay_test_type,assay_subcellular_fraction,0.3333333333333333,0
assay_test_type,tid,0.12,0
assay_test_type,relationship_type,0.75,0
assay_test_type,confidence_score,0.75,0
assay_test_type,curated_by,1.0,0
assay_test_type,src_id,0.3333333333333333,0
assay_test_type,src_assay_id,0,0
assay_test_type,chembl_id,0.0004,0
assay_test_type,cell_id,0.6666666666666666,0
assay_test_type,bao_format,0.375,0
assay_test_type,tissue_id,0.075,0
assay_test_type,variant_id,0,0
assay_category,assay_id,0,0
assay_category,doc_id,0,0
assay_category,description,0,0
assay_category,assay_type,0,0
assay_category,assay_test_type,0,0
assay_category,assay_category,0,1
assay_category,assay_organism,0,0
assay_category,assay_tax_id,0,0
assay_category,assay_strain,0,0
assay_category,assay_tissue,0,0
assay_category,assay_cell_type,0,0
assay_category,assay_subcellular_fraction,0,0
assay_category,tid,0,0
assay_category,relationship_type,0,0
assay_category,confidence_score,0,0
assay_category,curated_by,0,0
assay_category,src_id,0,0
assay_category,src_assay_id,0,0
assay_category,chembl_id,0,0
assay_category,cell_id,0,0
assay_category,bao_format,0,0
assay_category,tissue_id,0,0
assay_category,variant_id,0,0
assay_organism,assay_id,0.009066666666666667,0
assay_organism,doc_id,0.06433301797540208,0
assay_organism,description,0.009686609686609686,0
assay_organism,assay_type,0.058823529411764705,0
assay_organism,assay_test_type,0.04411764705882353,0
assay_organism,assay_category,0,0
assay_organism,assay_organism,0.4411764705882353,1
assay_organism,assay_tax_id,0.4411764705882353,0
assay_organism,assay_strain,0.014705882352941176,0
assay_organism,assay_tissue,0.6029411764705882,0
assay_organism,assay_cell_type,0.029411764705882353,0
assay_organism,assay_subcellular_fraction,0.014705882352941176,0
assay_organism,tid,0.36764705882352944,0
assay_organism,relationship_type,0.058823529411764705,0
assay_organism,confidence_score,0.058823529411764705,0
assay_organism,curated_by,0.04411764705882353,0
assay_organism,src_id,0.014705882352941176,0
