source,target,conf,realConf
Fiscal year,Fiscal year,1.0,1
Fiscal year,Trade development (marker),0.25,0
Fiscal year,Biodiversity (marker),0.25,0
Fiscal year,Urban issues (marker),0.25,0
Fiscal year,Children issues (marker),0.25,0
Fiscal year,Youth issues (marker),0.25,0
Fiscal year,Indigenous issues (marker),0.25,0
Fiscal year,Disability issues (marker),0.25,0
Fiscal year,ICT as a tool for development (marker),0.3333333333333333,0
Fiscal year,Knowledge for development (marker),0.25,0
Fiscal year,Gender equality (marker),0.25,0
Fiscal year,Organisation ID,0.0029498525073746312,0
Fiscal year,Organisation name,0.0029498525073746312,0
Fiscal year,Organisation type,0.25,0
Fiscal year,Organisation class,0.16666666666666666,0
Fiscal year,Organisation sub-class,0.041666666666666664,0
Fiscal year,Continent ID,0.2,0
Fiscal year,Continent name,0.2,0
Fiscal year,Project Browser country ID,0.006535947712418301,0
Fiscal year,CountryRegion ID,0.007042253521126761,0
Fiscal year,CountryRegion name,0.006896551724137931,0
Fiscal year,CountryRegion percent,0.0024875621890547263,0
Fiscal year,Sector ID,0.008130081300813009,0
Fiscal year,Sector name,0.008130081300813009,0
Fiscal year,Sector percent,0.005405405405405406,0
Fiscal year,Amount spent,0.00019920318725099602,0
Project number,Fiscal year,0.0007331378299120235,0
Project number,Trade development (marker),0.002932551319648094,0
Project number,Biodiversity (marker),0.002932551319648094,0
Project number,Urban issues (marker),0.002932551319648094,0
Project number,Children issues (marker),0.002932551319648094,0
Project number,Youth issues (marker),0.002932551319648094,0
Project number,Indigenous issues (marker),0.002932551319648094,0
Project number,Disability issues (marker),0.002932551319648094,0
Project number,ICT as a tool for development (marker),0.0021994134897360706,0
Project number,Knowledge for development (marker),0.002932551319648094,0
Project number,Gender equality (marker),0.002932551319648094,0
Project number,Organisation ID,0.24853372434017595,0
Project number,Organisation name,0.24853372434017595,0
Project number,Organisation type,0.002932551319648094,0
Project number,Organisation class,0.004398826979472141,0
Project number,Organisation sub-class,0.017595307917888565,0
Project number,Continent ID,0.0036656891495601175,0
Project number,Continent name,0.0036656891495601175,0
Project number,Project Browser country ID,0.11217008797653959,0
Project number,CountryRegion ID,0.10410557184750734,0
Project number,CountryRegion name,0.1063049853372434,0
Project number,CountryRegion percent,0.29472140762463345,0
Project number,Sector ID,0.09017595307917889,0
Project number,Sector name,0.09017595307917889,0
Project number,Sector percent,0.13563049853372433,0
Project number,Amount spent,0.27171314741035857,0
Status,Fiscal year,0.3333333333333333,0
Status,Trade development (marker),0.75,0
Status,Biodiversity (marker),0.75,0
Status,Urban issues (marker),0.75,0
Status,Children issues (marker),0.75,0
Status,Youth issues (marker),0.75,0
Status,Indigenous issues (marker),0.75,0
Status,Disability issues (marker),0.75,0
Status,ICT as a tool for development (marker),1.0,0
Status,Knowledge for development (marker),0.75,0
Status,Gender equality (marker),0.75,0
Status,Organisation ID,0.008849557522123894,0
Status,Organisation name,0.008849557522123894,0
Status,Organisation type,0.75,0
Status,Organisation class,0.5,0
Status,Organisation sub-class,0.125,0
