source,target,conf,realConf
Fiscal year,Fiscal year,0.03333333333333333,1
Fiscal year,FSTC percent,0.6122448979591837,0
Fiscal year,Section ID,0.8333333333333334,0
Fiscal year,Participatory development and good governance,0.13333333333333333,0
Fiscal year,CIDA business delivery model (old),0.1,0
Fiscal year,CountryRegion ID,0.2112676056338028,0
Fiscal year,Organisation class,0.2,0
Fiscal year,Sector ID,0.24390243902439024,0
Fiscal year,Enviromental sustainability (marker),0.1,0
Fiscal year,Organisation name,0.08849557522123894,0
Fiscal year,CountryRegion name,0.20689655172413793,0
Fiscal year,Continent ID,0.16666666666666666,0
Fiscal year,Climate change adaptation (marker),0.1,0
Fiscal year,Section name,0.8333333333333334,0
Fiscal year,Trade development (marker),0.13333333333333333,0
Fiscal year,Biodiversity (marker),0.13333333333333333,0
Fiscal year,Urban issues (marker),0.13333333333333333,0
Fiscal year,Children issues (marker),0.13333333333333333,0
Fiscal year,Youth issues (marker),0.13333333333333333,0
Fiscal year,Indigenous issues (marker),0.13333333333333333,0
Fiscal year,Disability issues (marker),0.13333333333333333,0
Fiscal year,ICT as a tool for development (marker),0.1,0
Fiscal year,Knowledge for development (marker),0.13333333333333333,0
Fiscal year,Gender equality (marker),0.13333333333333333,0
Fiscal year,Organisation ID,0.08849557522123894,0
Fiscal year,Organisation type,0.13333333333333333,0
Fiscal year,Organisation sub-class,0.8,0
Fiscal year,Continent name,0.16666666666666666,0
Fiscal year,Project Browser country ID,0.19607843137254902,0
Fiscal year,CountryRegion percent,0.07462686567164178,0
Fiscal year,Sector name,0.24390243902439024,0
Fiscal year,Sector percent,0.16216216216216217,0
Fiscal year,Amount spent,0.00597609561752988,0
FSTC percent,Fiscal year,8.600670852326481e-05,0
FSTC percent,FSTC percent,0.004214328717639976,1
FSTC percent,Section ID,0.0021501677130816204,0
FSTC percent,Participatory development and good governance,0.00034402683409305926,0
FSTC percent,CIDA business delivery model (old),0.00025802012556979444,0
FSTC percent,CountryRegion ID,0.012212952610303604,0
FSTC percent,Organisation class,0.0005160402511395889,0
FSTC percent,Sector ID,0.010578825148361573,0
FSTC percent,Enviromental sustainability (marker),0.00025802012556979444,0
FSTC percent,Organisation name,0.029156274189386773,0
FSTC percent,CountryRegion name,0.012470972735873399,0
FSTC percent,Continent ID,0.0004300335426163241,0
FSTC percent,Climate change adaptation (marker),0.00025802012556979444,0
FSTC percent,Section name,0.0021501677130816204,0
FSTC percent,Trade development (marker),0.00034402683409305926,0
FSTC percent,Biodiversity (marker),0.00034402683409305926,0
FSTC percent,Urban issues (marker),0.00034402683409305926,0
FSTC percent,Children issues (marker),0.00034402683409305926,0
FSTC percent,Youth issues (marker),0.00034402683409305926,0
