source,target,conf,realConf
Fiscal year,FiYe,1.0,1
Fiscal year,SeN,0.008130081300813009,0
Fiscal year,IndiIs,0.25,0
Fiscal year,ChiIs,0.25,0
Fiscal year,CounRegPe,0.0024875621890547263,0
Fiscal year,FuCenN,0.019230769230769232,0
Fiscal year,ProgProc,1.0,0
Fiscal year,TrDev,0.25,0
Fiscal year,Biodi,0.25,0
Fiscal year,SecN,0.04,0
Fiscal year,Sta,0.3333333333333333,0
Fiscal year,OrganiID,0.0029498525073746312,0
Fiscal year,FCeID,0.019230769230769232,0
Fiscal year,UntAmoPrBud,0.002304147465437788,0
Fiscal year,BraID,0.2,0
Fiscal year,CouRegID,0.007042253521126761,0
Fiscal year,YouIss,0.25,0
Fiscal year,GenEqu,0.25,0
Fiscal year,OrgS,0.041666666666666664,0
Fiscal year,CouRegN,0.006896551724137931,0
Fiscal year,FSTCPe,0.02040816326530612,0
Fiscal year,OrganiNa,0.0029498525073746312,0
Fiscal year,OrganTy,0.25,0
Fiscal year,BrNa,0.2,0
Fiscal year,ClimChaMiti,0.25,0
Fiscal year,Deserti,0.25,0
Fiscal year,PartiDeveAGoGove,0.25,0
Fiscal year,UrbIss,0.25,0
Fiscal year,DisIss,0.25,0
Fiscal year,ICTAAToFoDevelo,0.3333333333333333,0
Fiscal year,KnowlFoDev,0.25,0
Fiscal year,OrganCl,0.16666666666666666,0
Fiscal year,ContiID,0.2,0
Fiscal year,ContN,0.2,0
Fiscal year,ProBrCounID,0.006535947712418301,0
Fiscal year,SecID,0.008130081300813009,0
Fiscal year,SePerc,0.005405405405405406,0
Fiscal year,AmoSp,0.00019920318725099602,0
Sector name,FiYe,0.00641025641025641,0
Sector name,SeN,0.7884615384615384,1
Sector name,IndiIs,0.02564102564102564,0
Sector name,ChiIs,0.02564102564102564,0
Sector name,CounRegPe,0.3880597014925373,0
Sector name,FuCenN,0.3333333333333333,0
Sector name,ProgProc,0.00641025641025641,0
Sector name,TrDev,0.02564102564102564,0
Sector name,Biodi,0.02564102564102564,0
Sector name,SecN,0.16025641025641027,0
Sector name,Sta,0.019230769230769232,0
Sector name,OrganiID,0.46017699115044247,0
Sector name,FCeID,0.3333333333333333,0
Sector name,UntAmoPrBud,0.35944700460829493,0
Sector name,BraID,0.03205128205128205,0
Sector name,CouRegID,0.9102564102564102,0
Sector name,YouIss,0.02564102564102564,0
Sector name,GenEqu,0.02564102564102564,0
Sector name,OrgS,0.15384615384615385,0
Sector name,CouRegN,0.9294871794871795,0
Sector name,FSTCPe,0.3141025641025641,0
Sector name,OrganiNa,0.46017699115044247,0
Sector name,OrganTy,0.02564102564102564,0
Sector name,BrNa,0.03205128205128205,0
Sector name,ClimChaMiti,0.02564102564102564,0
Sector name,Deserti,0.02564102564102564,0
Sector name,PartiDeveAGoGove,0.02564102564102564,0
Sector name,UrbIss,0.02564102564102564,0
Sector name,DisIss,0.02564102564102564,0
Sector name,ICTAAToFoDevelo,0.019230769230769232,0
Sector name,KnowlFoDev,0.02564102564102564,0
Sector name,OrganCl,0.038461538461538464,0
Sector name,ContiID,0.03205128205128205,0
Sector name,ContN,0.03205128205128205,0
Sector name,ProBrCounID,0.9807692307692307,0
Sector name,SecID,0.7884615384615384,0
Sector name,SePerc,0.8432432432432433,0
Sector name,AmoSp,0.031075697211155377,0
Indigenous issues (marker),FiYe,0.25,0
Indigenous issues (marker),SeN,0.032520325203252036,0
Indigenous issues (marker),IndiIs,1.0,1
Indigenous issues (marker),ChiIs,1.0,0
Indigenous issues (marker),CounRegPe,0.009950248756218905,0
Indigenous issues (marker),FuCenN,0.07692307692307693,0
Indigenous issues (marker),ProgProc,0.25,0
Indigenous issues (marker),TrDev,1.0,0
Indigenous issues (marker),Biodi,1.0,0
Indigenous issues (marker),SecN,0.16,0
Indigenous issues (marker),Sta,0.75,0
Indigenous issues (marker),OrganiID,0.011799410029498525,0
Indigenous issues (marker),FCeID,0.07692307692307693,0
Indigenous issues (marker),UntAmoPrBud,0.009216589861751152,0
Indigenous issues (marker),BraID,0.8,0
Indigenous issues (marker),CouRegID,0.028169014084507043,0
Indigenous issues (marker),YouIss,1.0,0
Indigenous issues (marker),GenEqu,1.0,0
Indigenous issues (marker),OrgS,0.16666666666666666,0
Indigenous issues (marker),CouRegN,0.027586206896551724,0
Indigenous issues (marker),FSTCPe,0.08163265306122448,0
Indigenous issues (marker),OrganiNa,0.011799410029498525,0
Indigenous issues (marker),OrganTy,1.0,0
Indigenous issues (marker),BrNa,0.8,0
Indigenous issues (marker),ClimChaMiti,1.0,0
Indigenous issues (marker),Deserti,1.0,0
Indigenous issues (marker),PartiDeveAGoGove,1.0,0
Indigenous issues (marker),UrbIss,1.0,0
Indigenous issues (marker),DisIss,1.0,0
Indigenous issues (marker),ICTAAToFoDevelo,0.75,0
Indigenous issues (marker),KnowlFoDev,1.0,0
Indigenous issues (marker),OrganCl,0.6666666666666666,0
Indigenous issues (marker),ContiID,0.8,0
Indigenous issues (marker),ContN,0.8,0
Indigenous issues (marker),ProBrCounID,0.026143790849673203,0
Indigenous issues (marker),SecID,0.032520325203252036,0
Indigenous issues (marker),SePerc,0.021621621621621623,0
Indigenous issues (marker),AmoSp,0.0007968127490039841,0
Children issues (marker),FiYe,0.25,0
Children issues (marker),SeN,0.032520325203252036,0
Children issues (marker),IndiIs,1.0,0
Children issues (marker),ChiIs,1.0,1
Children issues (marker),CounRegPe,0.009950248756218905,0
Children issues (marker),FuCenN,0.07692307692307693,0
