source,target,conf,realConf
Fiscal year,miller2_FisY,0.03333333333333333,1
Fiscal year,miller2_DivNa,0.43333333333333335,0
Fiscal year,miller2_UrbIs,0.13333333333333333,0
Fiscal year,miller2_SecID,0.8333333333333334,0
Fiscal year,miller2_ICTAATFDevelo,0.1,0
Fiscal year,miller2_DivID,0.43333333333333335,0
Fiscal year,miller2_OrgaT,0.13333333333333333,0
Fiscal year,miller2_FSTCPe,0.6122448979591837,0
Fiscal year,miller2_Sta,0.1,0
Fiscal year,miller2_ClimChaAdapt,0.1,0
Fiscal year,miller2_TrDevel,0.13333333333333333,0
Fiscal year,miller2_GeEq,0.13333333333333333,0
Fiscal year,miller2_OrgaID,0.08849557522123894,0
Fiscal year,miller2_ProBroCounID,0.19607843137254902,0
Fiscal year,miller2_ContN,0.16666666666666666,0
Fiscal year,miller2_ProjNu,0.04665629860031104,0
Fiscal year,miller2_OrganCl,0.2,0
Fiscal year,miller2_OrganNa,0.08849557522123894,0
Fiscal year,miller2_ConID,0.16666666666666666,0
Fiscal year,miller2_CoRePerc,0.07462686567164178,0
Fiscal year,miller2_CounRegNa,0.20689655172413793,0
Fiscal year,miller2_AmSpe,0.00597609561752988,0
Fiscal year,miller2_SeID,0.24390243902439024,0
Fiscal year,miller2_SeN,0.8333333333333334,0
Fiscal year,miller2_PBAT,0.03333333333333333,0
Fiscal year,miller2_DisaIss,0.13333333333333333,0
Fiscal year,miller2_YouIss,0.13333333333333333,0
Fiscal year,miller2_CIDABusDelMod,0.1,0
Fiscal year,miller2_IRTCPerc,0.1,0
Fiscal year,miller2_SecPerc,0.16216216216216217,0
Fiscal year,miller2_Desert,0.13333333333333333,0
Fiscal year,miller2_EnvSustai,0.1,0
Fiscal year,miller2_BrNa,0.16666666666666666,0
Fiscal year,miller2_RegPr,0.06666666666666667,0
Fiscal year,miller2_UntAmoProBu,0.06912442396313365,0
Fiscal year,miller2_ParticDeveAnGoGove,0.13333333333333333,0
Fiscal year,miller2_Biod,0.13333333333333333,0
Fiscal year,miller2_ChiIs,0.13333333333333333,0
Fiscal year,miller2_IndiIs,0.13333333333333333,0
Fiscal year,miller2_KnowlFDevelo,0.13333333333333333,0
Fiscal year,miller2_OrgaSu,0.8,0
Fiscal year,miller2_CounRegID,0.2112676056338028,0
Fiscal year,Sector name,0.24390243902439024,0
Division name,miller2_FisY,8.609556607834697e-05,0
Division name,miller2_DivNa,0.0011192423590185106,1
Division name,miller2_UrbIs,0.00034438226431338786,0
Division name,miller2_SecID,0.002152389151958674,0
Division name,miller2_ICTAATFDevelo,0.0002582866982350409,0
Division name,miller2_DivID,0.0011192423590185106,0
Division name,miller2_OrgaT,0.00034438226431338786,0
Division name,miller2_FSTCPe,0.004218682737839001,0
Division name,miller2_Sta,0.0002582866982350409,0
Division name,miller2_ClimChaAdapt,0.0002582866982350409,0
Division name,miller2_TrDevel,0.00034438226431338786,0
Division name,miller2_GeEq,0.00034438226431338786,0
Division name,miller2_OrgaID,0.02918639690055962,0
Division name,miller2_ProBroCounID,0.013172621609987086,0
Division name,miller2_ContN,0.00043047783039173483,0
Division name,miller2_ProjNu,0.0553594489883771,0
Division name,miller2_OrganCl,0.0005165733964700818,0
Division name,miller2_OrganNa,0.02918639690055962,0
Division name,miller2_ConID,0.00043047783039173483,0
Division name,miller2_CoRePerc,0.03461041756349548,0
Division name,miller2_CounRegNa,0.01248385708136031,0
Division name,miller2_AmSpe,0.4321997417133018,0
Division name,miller2_SeID,0.010589754627636677,0
Division name,miller2_SeN,0.002152389151958674,0
Division name,miller2_PBAT,8.609556607834697e-05,0
Division name,miller2_DisaIss,0.00034438226431338786,0
Division name,miller2_YouIss,0.00034438226431338786,0
Division name,miller2_CIDABusDelMod,0.0002582866982350409,0
Division name,miller2_IRTCPerc,0.0002582866982350409,0
Division name,miller2_SecPerc,0.015927679724494187,0
Division name,miller2_Desert,0.00034438226431338786,0
Division name,miller2_EnvSustai,0.0002582866982350409,0
Division name,miller2_BrNa,0.00043047783039173483,0
Division name,miller2_RegPr,0.00017219113215669393,0
Division name,miller2_UntAmoProBu,0.03736547567800258,0
