source,target,conf,realConf
Fiscal year,FisY,1.0,1
Fiscal year,PrNu,0.0015552099533437014,0
Fiscal year,Sta,0.3333333333333333,0
Fiscal year,MaxCIDACont,0.0019455252918287938,0
Fiscal year,BraID,0.2,0
Fiscal year,BraNa,0.2,0
Fiscal year,DivID,0.07692307692307693,0
Fiscal year,DiNa,0.07692307692307693,0
Fiscal year,SectID,0.04,0
Fiscal year,SeNa,0.04,0
Fiscal year,ReProg,0.5,0
Fiscal year,FCenID,0.019230769230769232,0
Fiscal year,FCenNa,0.019230769230769232,0
Fiscal year,UnAmoProjBud,0.002304147465437788,0
Fiscal year,FSTCPer,0.02040816326530612,0
Fiscal year,IRTCPer,0.3333333333333333,0
Fiscal year,CFLI,0.5,0
Fiscal year,CIDABusiDeMo,0.3333333333333333,0
Fiscal year,ProgrPro,1.0,0
Fiscal year,BilatAMar,0.5,0
Fiscal year,PBAT,1.0,0
Fiscal year,EnvSustain,0.3333333333333333,0
Fiscal year,ClimChaAdap,0.3333333333333333,0
Fiscal year,CliChaMitig,0.25,0
Fiscal year,Desert,0.25,0
Fiscal year,PartDevAnGGove,0.25,0
Fiscal year,TrDevel,0.25,0
Fiscal year,Bio,0.25,0
Fiscal year,UrIs,0.25,0
Fiscal year,ChiIss,0.25,0
Fiscal year,YouIs,0.25,0
Fiscal year,IndigIss,0.25,0
Fiscal year,DisaIss,0.25,0
Fiscal year,ICTAAToFoDevel,0.3333333333333333,0
Fiscal year,KnowlFoDevel,0.25,0
Fiscal year,GeEq,0.25,0
Fiscal year,OrgID,0.0029498525073746312,0
Fiscal year,OrganiNa,0.0029498525073746312,0
Fiscal year,OrgaTy,0.25,0
Fiscal year,OrgCl,0.16666666666666666,0
Fiscal year,OrganS,0.041666666666666664,0
Fiscal year,ContiID,0.2,0
Fiscal year,ConN,0.2,0
Fiscal year,ProjBroCounID,0.006535947712418301,0
Fiscal year,CounReID,0.007042253521126761,0
Fiscal year,CouRegN,0.006896551724137931,0
Fiscal year,CounRePer,0.0024875621890547263,0
Fiscal year,SeID,0.008130081300813009,0
Fiscal year,SecN,0.008130081300813009,0
Fiscal year,SePerc,0.005405405405405406,0
Fiscal year,AmSp,0.00019920318725099602,0
Project number,FisY,0.0004985044865403788,0
