source,target,conf,realConf
Fiscal year,miller2_FiY,0.03225806451612903,1
Fiscal year,miller2_ProNum,0.04821150855365474,0
Fiscal year,miller2_St,0.0967741935483871,0
Fiscal year,miller2_MaCIDAContri,0.06031128404669261,0
Fiscal year,miller2_BraID,0.16129032258064516,0
Fiscal year,miller2_BrN,0.16129032258064516,0
Fiscal year,miller2_DivID,0.41935483870967744,0
Fiscal year,miller2_DiviNa,0.41935483870967744,0
Fiscal year,miller2_SeID,0.8064516129032258,0
Fiscal year,miller2_SeN,0.8064516129032258,0
Fiscal year,miller2_ReProg,0.06451612903225806,0
Fiscal year,miller2_FuCeID,0.5961538461538461,0
Fiscal year,miller2_FuCeN,0.5961538461538461,0
Fiscal year,miller2_UntAmoPrBu,0.07142857142857142,0
Fiscal year,miller2_FSTCPerc,0.6326530612244898,0
Fiscal year,miller2_IRTCPe,0.0967741935483871,0
Fiscal year,miller2_CFLI,0.06451612903225806,0
Fiscal year,miller2_CIDABusDelMo,0.0967741935483871,0
Fiscal year,miller2_ProgrPro,0.03225806451612903,0
Fiscal year,miller2_BilAMa,0.06451612903225806,0
Fiscal year,miller2_PBATy,0.03225806451612903,0
Fiscal year,miller2_EnvSustai,0.0967741935483871,0
Fiscal year,miller2_ClimChAda,0.0967741935483871,0
Fiscal year,miller2_ClChMitig,0.12903225806451613,0
Fiscal year,miller2_Desertif,0.12903225806451613,0
Fiscal year,miller2_ParticDeveloAGoGover,0.12903225806451613,0
Fiscal year,miller2_TraDevel,0.12903225806451613,0
Fiscal year,miller2_Bio,0.12903225806451613,0
Fiscal year,miller2_UrbIss,0.12903225806451613,0
Fiscal year,miller2_ChilIs,0.12903225806451613,0
Fiscal year,miller2_YouIs,0.12903225806451613,0
Fiscal year,miller2_IndIs,0.12903225806451613,0
Fiscal year,miller2_DisaIs,0.12903225806451613,0
Fiscal year,miller2_ICTAATFoDev,0.0967741935483871,0
Fiscal year,miller2_KnowFoDeve,0.12903225806451613,0
Fiscal year,miller2_GenEq,0.12903225806451613,0
Fiscal year,miller2_OrganID,0.09144542772861357,0
Fiscal year,miller2_OrganNa,0.09144542772861357,0
Fiscal year,miller2_OrgaTy,0.12903225806451613,0
Fiscal year,miller2_OrganCl,0.1935483870967742,0
Fiscal year,miller2_OrganiS,0.7741935483870968,0
Fiscal year,miller2_ContID,0.16129032258064516,0
Fiscal year,miller2_ConNa,0.16129032258064516,0
Fiscal year,miller2_ProBroCounID,0.20261437908496732,0
Fiscal year,miller2_CouRegID,0.21830985915492956,0
Fiscal year,miller2_CoRegNa,0.21379310344827587,0
Fiscal year,miller2_CouRegPerc,0.07711442786069651,0
Fiscal year,miller2_SecID,0.25203252032520324,0
Fiscal year,Sector name,0.25203252032520324,0
Fiscal year,miller2_SecPer,0.16756756756756758,0
Fiscal year,miller2_AmSp,0.0061752988047808766,0
Project number,miller2_FiY,0.00015647003598810827,0
Project number,miller2_ProNum,0.10061023314035362,1
Project number,miller2_St,0.00046941010796432484,0
Project number,miller2_MaCIDAContri,0.08042559849788765,0
Project number,miller2_BraID,0.0007823501799405414,0
Project number,miller2_BrN,0.0007823501799405414,0
Project number,miller2_DivID,0.002034110467845408,0
Project number,miller2_DiviNa,0.002034110467845408,0
Project number,miller2_SeID,0.003911750899702707,0
Project number,miller2_SeN,0.003911750899702707,0
