source,target,conf,realConf
Fiscal year,Fiscal year,1.0,1
Fiscal year,Project number,0.0015552099533437014,0
Fiscal year,Status,0.3333333333333333,0
Fiscal year,Maximum CIDA contribution (project-level),0.0019455252918287938,0
Fiscal year,Branch ID,0.2,0
Fiscal year,Branch name,0.2,0
Fiscal year,Division ID,0.07692307692307693,0
Fiscal year,Division name,0.07692307692307693,0
Fiscal year,Section ID,0.04,0
Fiscal year,Section name,0.04,0
Fiscal year,Regional program (marker),0.5,0
Fiscal year,Fund centre ID,0.019230769230769232,0
Fiscal year,Fund centre name,0.019230769230769232,0
Fiscal year,Untied amount(Project-level budget),0.002304147465437788,0
Fiscal year,FSTC percent,0.02040816326530612,0
Fiscal year,IRTC percent,0.3333333333333333,0
Fiscal year,CFLI (marker),0.5,0
Fiscal year,CIDA business delivery model (old),0.3333333333333333,0
Fiscal year,Programming process (new),1.0,0
Fiscal year,Bilateral aid (international marker),0.5,0
Fiscal year,PBA type,1.0,0
Fiscal year,Enviromental sustainability (marker),0.3333333333333333,0
Fiscal year,Climate change adaptation (marker),0.3333333333333333,0
Fiscal year,Climate change mitigation (marker),0.25,0
Fiscal year,Desertification (marker),0.25,0
Fiscal year,Participatory development and good governance,0.25,0
Fiscal year,Trade development (marker),0.25,0
Fiscal year,Biodiversity (marker),0.25,0
Fiscal year,Urban issues (marker),0.25,0
Fiscal year,Children issues (marker),0.25,0
Fiscal year,Youth issues (marker),0.25,0
Fiscal year,Indigenous issues (marker),0.25,0
Fiscal year,Disability issues (marker),0.25,0
Fiscal year,ICT as a tool for development (marker),0.3333333333333333,0
Fiscal year,Knowledge for development (marker),0.25,0
Fiscal year,Gender equality (marker),0.25,0
Fiscal year,Organisation ID,0.0029498525073746312,0
Fiscal year,Organisation name,0.0029498525073746312,0
Fiscal year,Organisation type,0.25,0
Fiscal year,Organisation class,0.16666666666666666,0
Fiscal year,Organisation sub-class,0.041666666666666664,0
Fiscal year,Continent ID,0.2,0
Fiscal year,Continent name,0.2,0
Fiscal year,Project Browser country ID,0.006535947712418301,0
Fiscal year,CountryRegion ID,0.007042253521126761,0
Fiscal year,CountryRegion name,0.006896551724137931,0
Fiscal year,CountryRegion percent,0.0024875621890547263,0
Fiscal year,Sector ID,0.008130081300813009,0
Fiscal year,Sector name,0.008130081300813009,0
Fiscal year,Sector percent,0.005405405405405406,0
Fiscal year,Amount spent,0.00019920318725099602,0
Project number,Fiscal year,0.0006361323155216285,0
Project number,Project number,0.40903307888040713,1
Project number,Status,0.0019083969465648854,0
Project number,Maximum CIDA contribution (project-level),0.32697201017811706,0
Project number,Branch ID,0.0031806615776081423,0
Project number,Branch name,0.0031806615776081423,0
Project number,Division ID,0.00826972010178117,0
Project number,Division name,0.00826972010178117,0
Project number,Section ID,0.015903307888040712,0
Project number,Section name,0.015903307888040712,0
Project number,Regional program (marker),0.001272264631043257,0
Project number,Fund centre ID,0.03307888040712468,0
Project number,Fund centre name,0.03307888040712468,0
Project number,Untied amount(Project-level budget),0.27608142493638677,0
Project number,FSTC percent,0.031170483460559797,0
Project number,IRTC percent,0.0019083969465648854,0
Project number,CFLI (marker),0.001272264631043257,0
Project number,CIDA business delivery model (old),0.0019083969465648854,0
Project number,Programming process (new),0.0006361323155216285,0
Project number,Bilateral aid (international marker),0.001272264631043257,0
Project number,PBA type,0.0006361323155216285,0
Project number,Enviromental sustainability (marker),0.0019083969465648854,0
Project number,Climate change adaptation (marker),0.0019083969465648854,0
Project number,Climate change mitigation (marker),0.002544529262086514,0
Project number,Desertification (marker),0.002544529262086514,0
Project number,Participatory development and good governance,0.002544529262086514,0
Project number,Trade development (marker),0.002544529262086514,0
Project number,Biodiversity (marker),0.002544529262086514,0
Project number,Urban issues (marker),0.002544529262086514,0
Project number,Children issues (marker),0.002544529262086514,0
Project number,Youth issues (marker),0.002544529262086514,0
Project number,Indigenous issues (marker),0.002544529262086514,0
Project number,Disability issues (marker),0.002544529262086514,0
Project number,ICT as a tool for development (marker),0.0019083969465648854,0
Project number,Knowledge for development (marker),0.002544529262086514,0
Project number,Gender equality (marker),0.002544529262086514,0
Project number,Organisation ID,0.21564885496183206,0
Project number,Organisation name,0.21564885496183206,0
Project number,Organisation type,0.002544529262086514,0
Project number,Organisation class,0.003816793893129771,0
Project number,Organisation sub-class,0.015267175572519083,0
Project number,Continent ID,0.0031806615776081423,0
Project number,Continent name,0.0031806615776081423,0
Project number,Project Browser country ID,0.09732824427480916,0
Project number,CountryRegion ID,0.09033078880407125,0
Project number,CountryRegion name,0.09223918575063614,0
Project number,CountryRegion percent,0.25572519083969464,0
Project number,Sector ID,0.07824427480916031,0
Project number,Sector name,0.07824427480916031,0
Project number,Sector percent,0.11768447837150127,0
Project number,Amount spent,0.31314741035856575,0
Status,Fiscal year,0.3333333333333333,0
Status,Project number,0.004665629860031105,0
Status,Status,1.0,1
Status,Maximum CIDA contribution (project-level),0.005836575875486381,0
Status,Branch ID,0.6,0
Status,Branch name,0.6,0
Status,Division ID,0.23076923076923078,0
Status,Division name,0.23076923076923078,0
Status,Section ID,0.12,0
Status,Section name,0.12,0
Status,Regional program (marker),0.6666666666666666,0
Status,Fund centre ID,0.057692307692307696,0
Status,Fund centre name,0.057692307692307696,0
Status,Untied amount(Project-level budget),0.0069124423963133645,0
Status,FSTC percent,0.061224489795918366,0
Status,IRTC percent,1.0,0
Status,CFLI (marker),0.6666666666666666,0
Status,CIDA business delivery model (old),1.0,0
Status,Programming process (new),0.3333333333333333,0
Status,Bilateral aid (international marker),0.6666666666666666,0
Status,PBA type,0.3333333333333333,0
Status,Enviromental sustainability (marker),1.0,0
Status,Climate change adaptation (marker),1.0,0
Status,Climate change mitigation (marker),0.75,0
Status,Desertification (marker),0.75,0
Status,Participatory development and good governance,0.75,0
Status,Trade development (marker),0.75,0
Status,Biodiversity (marker),0.75,0
Status,Urban issues (marker),0.75,0
Status,Children issues (marker),0.75,0
Status,Youth issues (marker),0.75,0
Status,Indigenous issues (marker),0.75,0
Status,Disability issues (marker),0.75,0
Status,ICT as a tool for development (marker),1.0,0
Status,Knowledge for development (marker),0.75,0
Status,Gender equality (marker),0.75,0
Status,Organisation ID,0.008849557522123894,0
Status,Organisation name,0.008849557522123894,0
Status,Organisation type,0.75,0
Status,Organisation class,0.5,0
