source,target,conf,realConf
AgencyID,AgencyID,1.0,1
AgencyID,AddressLine1,0.9454011480443199,0
AgencyID,FirstName,1.0,0
AgencyID,MaritalStatus,0.0006674676278200508,0
AgencyID,NetWorth,0.9425977840074756,0
AgencyID,OwnOrRentFlag,0.00040048057669203043,0
AgencyID,State,0.00814310505940462,0
AgencyID,NumberChildren,0.0008009611533840609,0
AgencyID,Country,0.00026698705112802027,0
AgencyID,PostalCode,0.9552796689360566,0
AgencyID,NumberCreditCards,0.0014684287812041115,0
AgencyID,Phone,0.9495394473368042,0
AgencyID,Income,0.9411293552262715,0
AgencyID,NumberCars,0.0008009611533840609,0
AgencyID,Age,0.013482846081965025,0
AgencyID,CreditRating,0.07355493258576959,0
AgencyID,Employer,0.13336003203844612,0
AddressLine1,AgencyID,0.7832065144840475,0
AddressLine1,AddressLine1,0.8284382942671562,1
AddressLine1,FirstName,0.7832065144840475,0
AddressLine1,MaritalStatus,0.0008522243054371911,0
AddressLine1,NetWorth,0.8309021385072936,0
AddressLine1,OwnOrRentFlag,0.0005113345832623146,0
AddressLine1,State,0.010397136526333731,0
AddressLine1,NumberChildren,0.0010226691665246293,0
AddressLine1,Country,0.0003408897221748764,0
AddressLine1,PostalCode,0.8198714365567356,0
AddressLine1,NumberCreditCards,0.0018748934719618204,0
AddressLine1,Phone,0.8248277801209054,0
AddressLine1,Income,0.8321985815602837,0
AddressLine1,NumberCars,0.0010226691665246293,0
AddressLine1,Age,0.01721493096983126,0
AddressLine1,CreditRating,0.09391511845917845,0
AddressLine1,Employer,0.17027441622635078,0
FirstName,AgencyID,0.9384594847149913,0
FirstName,AddressLine1,0.9926574414007343,0
FirstName,FirstName,0.9384594847149913,1
FirstName,MaritalStatus,0.0007112375533428165,0
FirstName,NetWorth,0.995609687013171,0
FirstName,OwnOrRentFlag,0.0004267425320056899,0
FirstName,State,0.008677098150782362,0
FirstName,NumberChildren,0.0008534850640113798,0
FirstName,Country,0.0002844950213371266,0
FirstName,PostalCode,0.9823923979877026,0
FirstName,NumberCreditCards,0.0015647226173541964,0
FirstName,Phone,0.9883312245184873,0
FirstName,Income,0.9971631205673759,0
FirstName,NumberCars,0.0008534850640113798,0
FirstName,Age,0.014366998577524893,0
FirstName,CreditRating,0.07837837837837838,0
FirstName,Employer,0.14210526315789473,0
MaritalStatus,AgencyID,0.0006674676278200508,0
MaritalStatus,AddressLine1,0.0007060152499293985,0
MaritalStatus,FirstName,0.0006674676278200508,0
MaritalStatus,MaritalStatus,1.0,1
MaritalStatus,NetWorth,0.000708114997875655,0
MaritalStatus,OwnOrRentFlag,0.6,0
MaritalStatus,State,0.08196721311475409,0
MaritalStatus,NumberChildren,0.8333333333333334,0
MaritalStatus,Country,0.4,0
MaritalStatus,PostalCode,0.000698714365567356,0
MaritalStatus,NumberCreditCards,0.45454545454545453,0
MaritalStatus,Phone,0.0007029382820188388,0
MaritalStatus,Income,0.0007092198581560284,0
MaritalStatus,NumberCars,0.8333333333333334,0
MaritalStatus,Age,0.04950495049504951,0
MaritalStatus,CreditRating,0.009074410163339383,0
MaritalStatus,Employer,0.005005005005005005,0
NetWorth,AgencyID,0.9494059538112402,0
NetWorth,AddressLine1,0.9957817772778402,0
NetWorth,FirstName,0.9494059538112402,0
NetWorth,MaritalStatus,0.000703037120359955,0
NetWorth,NetWorth,0.9928290213723284,1
NetWorth,OwnOrRentFlag,0.000421822272215973,0
NetWorth,State,0.00857705286839145,0
NetWorth,NumberChildren,0.000843644544431946,0
NetWorth,Country,0.00028121484814398203,0
NetWorth,PostalCode,0.9938513135830073,0
NetWorth,NumberCreditCards,0.001546681664791901,0
NetWorth,Phone,0.9998594123435962,0
NetWorth,Income,0.9912823397075365,0
NetWorth,NumberCars,0.000843644544431946,0
NetWorth,Age,0.01420134983127109,0
NetWorth,CreditRating,0.07747469066366704,0
NetWorth,Employer,0.14046681664791902,0
OwnOrRentFlag,AgencyID,0.00040048057669203043,0
OwnOrRentFlag,AddressLine1,0.0004236091499576391,0
OwnOrRentFlag,FirstName,0.00040048057669203043,0
OwnOrRentFlag,MaritalStatus,0.6,0
OwnOrRentFlag,NetWorth,0.000424868998725393,0
OwnOrRentFlag,OwnOrRentFlag,1.0,1
OwnOrRentFlag,State,0.04918032786885246,0
OwnOrRentFlag,NumberChildren,0.5,0
OwnOrRentFlag,Country,0.6666666666666666,0
OwnOrRentFlag,PostalCode,0.00041922861934041365,0
OwnOrRentFlag,NumberCreditCards,0.2727272727272727,0
OwnOrRentFlag,Phone,0.00042176296921130323,0
OwnOrRentFlag,Income,0.000425531914893617,0
OwnOrRentFlag,NumberCars,0.5,0
OwnOrRentFlag,Age,0.0297029702970297,0
OwnOrRentFlag,CreditRating,0.0054446460980036296,0
OwnOrRentFlag,Employer,0.003003003003003003,0
State,AgencyID,0.00814310505940462,0
State,AddressLine1,0.00861338604913866,0
State,FirstName,0.00814310505940462,0
State,MaritalStatus,0.08196721311475409,0
State,NetWorth,0.008639002974082991,0
State,OwnOrRentFlag,0.04918032786885246,0
State,State,1.0,1
State,NumberChildren,0.09836065573770492,0
State,Country,0.03278688524590164,0
State,PostalCode,0.008524315259921743,0
State,NumberCreditCards,0.18032786885245902,0
State,Phone,0.008575847040629832,0
State,Income,0.008652482269503546,0
State,NumberCars,0.09836065573770492,0
State,Age,0.6039603960396039,0
State,CreditRating,0.11070780399274047,0
State,Employer,0.06106106106106106,0
NumberChildren,AgencyID,0.0008009611533840609,0
NumberChildren,AddressLine1,0.0008472182999152782,0
NumberChildren,FirstName,0.0008009611533840609,0
NumberChildren,MaritalStatus,0.8333333333333334,0
NumberChildren,NetWorth,0.000849737997450786,0
NumberChildren,OwnOrRentFlag,0.5,0
NumberChildren,State,0.09836065573770492,0
NumberChildren,NumberChildren,1.0,1
NumberChildren,Country,0.3333333333333333,0
NumberChildren,PostalCode,0.0008384572386808273,0
NumberChildren,NumberCreditCards,0.5454545454545454,0
NumberChildren,Phone,0.0008435259384226065,0
NumberChildren,Income,0.000851063829787234,0
NumberChildren,NumberCars,1.0,0
NumberChildren,Age,0.0594059405940594,0
NumberChildren,CreditRating,0.010889292196007259,0
NumberChildren,Employer,0.006006006006006006,0
Country,AgencyID,0.00026698705112802027,0
Country,AddressLine1,0.0002824060999717594,0
Country,FirstName,0.00026698705112802027,0
Country,MaritalStatus,0.4,0
Country,NetWorth,0.000283245999150262,0
Country,OwnOrRentFlag,0.6666666666666666,0
Country,State,0.03278688524590164,0
Country,NumberChildren,0.3333333333333333,0
Country,Country,1.0,1
Country,PostalCode,0.00027948574622694243,0
Country,NumberCreditCards,0.18181818181818182,0
Country,Phone,0.0002811753128075355,0
Country,Income,0.00028368794326241134,0
Country,NumberCars,0.3333333333333333,0
Country,Age,0.019801980198019802,0
Country,CreditRating,0.003629764065335753,0
Country,Employer,0.002002002002002002,0
PostalCode,AgencyID,0.9124282472300094,0
PostalCode,AddressLine1,0.9651228466534877,0
PostalCode,FirstName,0.9124282472300094,0
PostalCode,MaritalStatus,0.000731528895391368,0
PostalCode,NetWorth,0.9679932020960204,0
PostalCode,OwnOrRentFlag,0.0004389173372348208,0
PostalCode,State,0.008924652523774688,0
PostalCode,NumberChildren,0.0008778346744696416,0
PostalCode,Country,0.0002926115581565472,0
PostalCode,PostalCode,0.9551425377305758,1
PostalCode,NumberCreditCards,0.0016093635698610094,0
PostalCode,Phone,0.9609166315197526,0
PostalCode,Income,0.9695035460992908,0
PostalCode,NumberCars,0.0008778346744696416,0
PostalCode,Age,0.014776883686905632,0
PostalCode,CreditRating,0.08061448427212875,0
PostalCode,Employer,0.14615947329919532,0
NumberCreditCards,AgencyID,0.0014684287812041115,0
NumberCreditCards,AddressLine1,0.0015532335498446767,0
NumberCreditCards,FirstName,0.0014684287812041115,0
NumberCreditCards,MaritalStatus,0.45454545454545453,0
NumberCreditCards,NetWorth,0.001557852995326441,0
NumberCreditCards,OwnOrRentFlag,0.2727272727272727,0
NumberCreditCards,State,0.18032786885245902,0
NumberCreditCards,NumberChildren,0.5454545454545454,0
NumberCreditCards,Country,0.18181818181818182,0
NumberCreditCards,PostalCode,0.0015371716042481833,0
NumberCreditCards,NumberCreditCards,1.0,1
NumberCreditCards,Phone,0.0015464642204414453,0
NumberCreditCards,Income,0.0015602836879432625,0
NumberCreditCards,NumberCars,0.5454545454545454,0
NumberCreditCards,Age,0.10891089108910891,0
NumberCreditCards,CreditRating,0.019963702359346643,0
NumberCreditCards,Employer,0.011011011011011011,0
LastName,AgencyID,0.9568815912428247,0
LastName,AddressLine1,0.9880022321428571,0
LastName,FirstName,0.9568815912428247,0
LastName,MaritalStatus,0.0006975446428571429,0
LastName,NetWorth,0.9850725446428571,0
LastName,OwnOrRentFlag,0.0004185267857142857,0
LastName,State,0.008510044642857142,0
LastName,NumberChildren,0.0008370535714285714,0
LastName,Country,0.00027901785714285713,0
LastName,PostalCode,0.9983258928571429,0
LastName,NumberCreditCards,0.0015345982142857143,0
LastName,Phone,0.9923270089285714,0
LastName,Income,0.9835379464285714,0
LastName,NumberCars,0.0008370535714285714,0
LastName,Age,0.014090401785714286,0
LastName,CreditRating,0.07686941964285714,0
LastName,Employer,0.13936941964285715,0
MiddleInitial,AgencyID,0.006941663329328528,0
MiddleInitial,AddressLine1,0.0073425585992657446,0
MiddleInitial,FirstName,0.006941663329328528,0
MiddleInitial,MaritalStatus,0.09615384615384616,0
MiddleInitial,NetWorth,0.007364395977906812,0
MiddleInitial,OwnOrRentFlag,0.057692307692307696,0
MiddleInitial,State,0.8524590163934426,0
MiddleInitial,NumberChildren,0.11538461538461539,0
MiddleInitial,Country,0.038461538461538464,0
MiddleInitial,PostalCode,0.0072666294019005035,0
MiddleInitial,NumberCreditCards,0.21153846153846154,0
MiddleInitial,Phone,0.007310558132995923,0
MiddleInitial,Income,0.007375886524822695,0
MiddleInitial,NumberCars,0.11538461538461539,0
MiddleInitial,Age,0.5148514851485149,0
MiddleInitial,CreditRating,0.09437386569872959,0
MiddleInitial,Employer,0.05205205205205205,0
Gender,AgencyID,0.006007208650380457,0
Gender,AddressLine1,0.006354137249364586,0
Gender,FirstName,0.006007208650380457,0
Gender,MaritalStatus,0.1111111111111111,0
Gender,NetWorth,0.006373034980880895,0
Gender,OwnOrRentFlag,0.06666666666666667,0
Gender,State,0.7377049180327869,0
Gender,NumberChildren,0.13333333333333333,0
Gender,Country,0.044444444444444446,0
Gender,PostalCode,0.006288429290106205,0
Gender,NumberCreditCards,0.24444444444444444,0
Gender,Phone,0.0063264445381695485,0
Gender,Income,0.006382978723404255,0
Gender,NumberCars,0.13333333333333333,0
Gender,Age,0.44554455445544555,0
Gender,CreditRating,0.08166969147005444,0
Gender,Employer,0.04504504504504504,0
AddressLine2,AgencyID,0.4048858630356428,0
AddressLine2,AddressLine1,0.4282688506071731,0
AddressLine2,FirstName,0.4048858630356428,0
AddressLine2,MaritalStatus,0.0016485328058028356,0
AddressLine2,NetWorth,0.42954255771137234,0
AddressLine2,OwnOrRentFlag,0.0009891196834817012,0
AddressLine2,State,0.020112100230794593,0
AddressLine2,NumberChildren,0.0019782393669634025,0
AddressLine2,Country,0.0006594131223211342,0
AddressLine2,PostalCode,0.4238401341531582,0
AddressLine2,NumberCreditCards,0.003626772172766238,0
AddressLine2,Phone,0.4264023618726276,0
AddressLine2,Income,0.4302127659574468,0
AddressLine2,NumberCars,0.0019782393669634025,0
AddressLine2,Age,0.033300362677217275,0
AddressLine2,CreditRating,0.18166831519947246,0
AddressLine2,Employer,0.3293768545994065,0
City,AgencyID,0.03631023895341076,0
City,AddressLine1,0.038407229596159276,0
City,FirstName,0.03631023895341076,0
City,MaritalStatus,0.01838235294117647,0
City,NetWorth,0.03852145588443563,0
City,OwnOrRentFlag,0.011029411764705883,0
City,State,0.22426470588235295,0
City,NumberChildren,0.022058823529411766,0
City,Country,0.007352941176470588,0
City,PostalCode,0.03801006148686417,0
City,NumberCreditCards,0.04044117647058824,0
City,Phone,0.03823984254182483,0
City,Income,0.03858156028368794,0
City,NumberCars,0.022058823529411766,0
City,Age,0.3713235294117647,0
City,CreditRating,0.49364791288566245,0
City,Employer,0.2722722722722723,0
