source,target,conf,realConf
AgencyID,AgID,0.6666963332146671,1
AgencyID,LN,0.6666963332146671,0
AgencyID,FirNa,0.6666963332146671,0
AgencyID,MiIni,0.004627981488074048,0
AgencyID,Gen,0.00355998576005696,0
AgencyID,AddLi1,0.6302954788180847,0
AgencyID,AddrLi2,0.6333214667141331,0
AgencyID,PosCo,0.6368814524741901,0
AgencyID,C,0.024207903168387328,0
AgencyID,Sta,0.0054289782840868635,0
AgencyID,Cou,0.000177999288002848,0
AgencyID,Ph,0.6330544677821289,0
AgencyID,In,0.6274474902100392,0
AgencyID,NuCa,0.000533997864008544,0
AgencyID,NumChi,0.000533997864008544,0
AgencyID,MariSta,0.00044499822000712,0
AgencyID,A,0.008988964044143823,0
AgencyID,CrRat,0.04903880384478462,0
AgencyID,OwORF,0.000266998932004272,0
AgencyID,Em,0.08891064435742257,0
AgencyID,NumCreCar,0.000978996084015664,0
AgencyID,NeWor,0.6284264862940548,0
LastName,AgID,0.6864290295977274,0
LastName,LN,0.6864290295977274,1
LastName,FirNa,0.6864290295977274,0
LastName,MiIni,0.004764959222945111,0
LastName,Gen,0.0036653532484193165,0
LastName,AddLi1,0.64895079263264,0
LastName,AddrLi2,0.6520663428937964,0
LastName,PosCo,0.6557316961422157,0
LastName,C,0.02492440208925135,0
LastName,Sta,0.005589663703839457,0
LastName,Cou,0.00018326766242096582,0
LastName,Ph,0.651791441400165,0
LastName,In,0.6460185100339045,0
LastName,NuCa,0.0005498029872628975,0
LastName,NumChi,0.0005498029872628975,0
LastName,MariSta,0.00045816915605241456,0
LastName,A,0.009255016952258773,0
LastName,CrRat,0.050490240996976084,0
LastName,OwORF,0.00027490149363144874,0
LastName,Em,0.09154219737927242,0
LastName,NumCreCar,0.001007972143315312,0
LastName,NeWor,0.6470264821772198,0
FirstName,AgID,0.6952204176334107,0
FirstName,LN,0.6952204176334107,0
FirstName,FirNa,0.6952204176334107,1
FirstName,MiIni,0.004825986078886311,0
FirstName,Gen,0.0037122969837587007,0
FirstName,AddLi1,0.657262180974478,0
FirstName,AddrLi2,0.6604176334106728,0
FirstName,PosCo,0.6641299303944316,0
FirstName,C,0.025243619489559166,0
FirstName,Sta,0.005661252900232019,0
FirstName,Cou,0.00018561484918793505,0
FirstName,Ph,0.660139211136891,0
FirstName,In,0.654292343387471,0
FirstName,NuCa,0.0005568445475638051,0
FirstName,NumChi,0.0005568445475638051,0
FirstName,MariSta,0.0004640371229698376,0
FirstName,A,0.00937354988399072,0
FirstName,CrRat,0.051136890951276104,0
FirstName,OwORF,0.00027842227378190254,0
FirstName,Em,0.09271461716937356,0
FirstName,NumCreCar,0.0010208816705336427,0
FirstName,NeWor,0.6553132250580046,0
MiddleInitial,AgID,0.006941663329328528,0
MiddleInitial,LN,0.006941663329328528,0
MiddleInitial,FirNa,0.006941663329328528,0
MiddleInitial,MiIni,1.0,1
MiddleInitial,Gen,0.7692307692307693,0
MiddleInitial,AddLi1,0.0073425585992657446,0
MiddleInitial,AddrLi2,0.007307476110174255,0
MiddleInitial,PosCo,0.0072666294019005035,0
MiddleInitial,C,0.19117647058823528,0
MiddleInitial,Sta,0.8524590163934426,0
MiddleInitial,Cou,0.038461538461538464,0
MiddleInitial,Ph,0.007310558132995923,0
MiddleInitial,In,0.007375886524822695,0
MiddleInitial,NuCa,0.11538461538461539,0
MiddleInitial,NumChi,0.11538461538461539,0
MiddleInitial,MariSta,0.09615384615384616,0
MiddleInitial,A,0.5148514851485149,0
MiddleInitial,CrRat,0.09437386569872959,0
MiddleInitial,OwORF,0.057692307692307696,0
MiddleInitial,Em,0.05205205205205205,0
MiddleInitial,NumCreCar,0.21153846153846154,0
MiddleInitial,NeWor,0.007364395977906812,0
Gender,AgID,0.006274195701508477,0
Gender,LN,0.006274195701508477,0
Gender,FirNa,0.006274195701508477,0
Gender,MiIni,0.9038461538461539,0
Gender,Gen,0.851063829787234,1
Gender,AddLi1,0.006636543349336345,0
Gender,AddrLi2,0.006604834176503654,0
Gender,PosCo,0.006567915036333147,0
Gender,C,0.17279411764705882,0
Gender,Sta,0.7704918032786885,0
Gender,Cou,0.0425531914893617,0
Gender,Ph,0.006607619850977084,0
Gender,In,0.006666666666666667,0
Gender,NuCa,0.1276595744680851,0
Gender,NumChi,0.1276595744680851,0
Gender,MariSta,0.10638297872340426,0
Gender,A,0.46534653465346537,0
Gender,CrRat,0.0852994555353902,0
Gender,OwORF,0.06382978723404255,0
Gender,Em,0.04704704704704705,0
Gender,NumCreCar,0.23404255319148937,0
Gender,NeWor,0.0066562809800311575,0
AddressLine1,AgID,0.7954762663268556,0
AddressLine1,LN,0.7954762663268556,0
AddressLine1,FirNa,0.7954762663268556,0
AddressLine1,MiIni,0.005521928427312308,0
AddressLine1,Gen,0.004247637251778698,0
AddressLine1,AddLi1,0.7520441754274185,1
AddressLine1,AddrLi2,0.7556546670914304,0
AddressLine1,PosCo,0.759902304343209,0
AddressLine1,C,0.028883933312095145,0
AddressLine1,Sta,0.006477646808962514,0
AddressLine1,Cou,0.00021238186258893492,0
AddressLine1,Ph,0.755336094297547,0
AddressLine1,In,0.7486460656259956,0
AddressLine1,NuCa,0.0006371455877668047,0
AddressLine1,NumChi,0.0006371455877668047,0
AddressLine1,MariSta,0.0005309546564723373,0
AddressLine1,A,0.010725284060741212,0
AddressLine1,CrRat,0.05851120314325157,0
AddressLine1,OwORF,0.00031857279388340236,0
AddressLine1,Em,0.10608474036317299,0
AddressLine1,NumCreCar,0.001168100244239142,0
AddressLine1,NeWor,0.7498141658702346,0
AddressLine2,AgID,0.881591242824723,0
AddressLine2,LN,0.881591242824723,0
AddressLine2,FirNa,0.881591242824723,0
AddressLine2,MiIni,0.007874015748031496,0
AddressLine2,Gen,0.0060569351907934586,0
AddressLine2,AddLi1,0.9325049421067495,0
AddressLine2,AddrLi2,0.9280494659921305,1
AddressLine2,PosCo,0.9228619340413639,0
AddressLine2,C,0.04118715929739552,0
AddressLine2,Sta,0.009236826165960024,0
AddressLine2,Cou,0.0003028467595396729,0
AddressLine2,Ph,0.9284408828904822,0
AddressLine2,In,0.9367375886524822,0
AddressLine2,NuCa,0.0009085402786190188,0
AddressLine2,NumChi,0.0009085402786190188,0
AddressLine2,MariSta,0.0007571168988491823,0
AddressLine2,A,0.015293761356753482,0
AddressLine2,CrRat,0.08343428225317989,0
AddressLine2,OwORF,0.0004542701393095094,0
AddressLine2,Em,0.15127195639006663,0
AddressLine2,NumCreCar,0.001665657177468201,0
AddressLine2,NeWor,0.9352782891941651,0
PostalCode,AgID,0.7193892250072025,0
PostalCode,LN,0.7193892250072025,0
PostalCode,FirNa,0.7193892250072025,0
PostalCode,MiIni,0.004993757802746567,0
PostalCode,Gen,0.0038413521559588974,0
PostalCode,AddLi1,0.6801113992125228,0
PostalCode,AddrLi2,0.6833765485450879,0
PostalCode,PosCo,0.6872179007010467,1
PostalCode,C,0.026121194660520503,0
PostalCode,Sta,0.005858062037837319,0
PostalCode,Cou,0.00019206760779794487,0
PostalCode,Ph,0.683088447133391,0
PostalCode,In,0.6770383174877557,0
PostalCode,NuCa,0.0005762028233938346,0
PostalCode,NumChi,0.0005762028233938346,0
PostalCode,MariSta,0.0004801690194948622,0
PostalCode,A,0.009699414193796217,0
PostalCode,CrRat,0.052914625948333814,0
PostalCode,OwORF,0.0002881014116969173,0
PostalCode,Em,0.09593777009507347,0
PostalCode,NumCreCar,0.0010563718428886967,0
PostalCode,NeWor,0.6780946893306444,0
City,AgID,0.4724335869710319,0
City,LN,0.4724335869710319,0
City,FirNa,0.4724335869710319,0
City,MiIni,0.01469341621927098,0
City,Gen,0.011302627860977677,0
City,AddLi1,0.49971759390002823,0
City,AddrLi2,0.4973299606520517,0
City,PosCo,0.4945500279485746,0
City,C,0.0768578694546482,1
City,Sta,0.01723650748799096,0
City,Cou,0.0005651313930488839,0
City,Ph,0.49753971601293406,0
City,In,0.5019858156028368,0
City,NuCa,0.0016953941791466515,0
City,NumChi,0.0016953941791466515,0
City,MariSta,0.0014128284826222096,0
City,A,0.028539135348968635,0
City,CrRat,0.1556936987849675,0
City,OwORF,0.0008476970895733258,0
City,Em,0.2822831308279175,0
City,NumCreCar,0.0031082226617688614,0
City,NeWor,0.5012037954963886,0
State,AgID,0.07408890668802563,0
State,LN,0.07408890668802563,0
State,FirNa,0.07408890668802563,0
State,MiIni,0.0936936936936937,0
State,Gen,0.07207207207207207,0
State,AddLi1,0.07836769274216324,0
State,AddrLi2,0.07799325463743677,0
State,PosCo,0.07755729457797653,0
State,C,0.4900900900900901,0
State,Sta,0.10990990990990991,1
State,Cou,0.0036036036036036037,0
State,Ph,0.0780261493040911,0
State,In,0.07872340425531915,0
State,NuCa,0.010810810810810811,0
State,NumChi,0.010810810810810811,0
State,MariSta,0.009009009009009009,0
State,A,0.18198198198198198,0
State,CrRat,0.9927927927927928,0
State,OwORF,0.005405405405405406,0
State,Em,0.5555555555555556,0
State,NumCreCar,0.01981981981981982,0
State,NeWor,0.07860076476419771,0
Country,AgID,0.3904685622747297,0
Country,LN,0.3904685622747297,0
Country,FirNa,0.3904685622747297,0
Country,MiIni,0.017777777777777778,0
Country,Gen,0.013675213675213675,0
Country,AddLi1,0.4130189212086981,0
Country,AddrLi2,0.41104553119730186,0
Country,PosCo,0.4087479038569033,0
Country,C,0.09299145299145299,0
Country,Sta,0.020854700854700856,0
Country,Cou,0.0006837606837606838,1
Country,Ph,0.41121889498102066,0
Country,In,0.4148936170212766,0
Country,NuCa,0.0020512820512820513,0
Country,NumChi,0.0020512820512820513,0
Country,MariSta,0.0017094017094017094,0
Country,A,0.03452991452991453,0
Country,CrRat,0.18837606837606838,0
Country,OwORF,0.0010256410256410256,0
Country,Em,0.3415384615384615,0
Country,NumCreCar,0.0037606837606837607,0
Country,NeWor,0.41424727375725817,0
Phone,AgID,0.7039751903016633,0
Phone,LN,0.7039751903016633,0
Phone,FirNa,0.7039751903016633,0
Phone,MiIni,0.0048867587632741285,0
Phone,Gen,0.0037590452025185604,0
Phone,AddLi1,0.665538953105911,0
Phone,AddrLi2,0.6687341415280519,0
Phone,PosCo,0.6724931867305705,0
Phone,C,0.02556150737712621,0
Phone,Sta,0.005732543933840805,0
Phone,Cou,0.000187952260125928,0
Phone,Ph,0.668452213137863,1
Phone,In,0.6625317169438962,0
Phone,NuCa,0.000563856780377784,0
Phone,NumChi,0.000563856780377784,0
Phone,MariSta,0.00046988065031482005,0
Phone,A,0.009491589136359365,0
Phone,CrRat,0.051780847664693166,0
Phone,OwORF,0.000281928390188892,0
Phone,Em,0.09388215393290104,0
Phone,NumCreCar,0.001033737430692604,0
Phone,NeWor,0.6635654543745888,0
Income,AgID,0.7081009547216183,0
Income,LN,0.7081009547216183,0
Income,FirNa,0.7081009547216183,0
Income,MiIni,0.004915398430853578,0
Income,Gen,0.003781075716041214,0
Income,AddLi1,0.6694394555250969,0
Income,AddrLi2,0.6726533698837319,0
Income,PosCo,0.6764344455997732,0
Income,C,0.025711314869080255,0
Income,Sta,0.005766140466962851,0
Income,Cou,0.0001890537858020607,0
Income,Ph,0.6723697892050289,0
Income,In,0.666414594952264,1
Income,NuCa,0.0005671613574061821,0
Income,NumChi,0.0005671613574061821,0
Income,MariSta,0.0004726344645051517,0
Income,A,0.009547216183004064,0
Income,CrRat,0.05208431798846772,0
Income,OwORF,0.00028358067870309103,0
Income,Em,0.0944323660081293,0
Income,NumCreCar,0.0010397958219113337,0
Income,NeWor,0.6674543907741752,0
NumberCars,AgID,0.000934454678948071,0
NumberCars,LN,0.000934454678948071,0
NumberCars,FirNa,0.000934454678948071,0
