source,target,conf,realConf
Fiscal year,Fiscal year,0.05222641534310934,1
Fiscal year,Biodiversity (marker),0.028876910147009577,0
Fiscal year,CIDA business delivery model (old),0.025864041879633867,0
Fiscal year,Bilateral aid (international marker),0.028381113229668378,0
Fiscal year,Branch name,0.027575884312327083,0
Fiscal year,Urban issues (marker),0.028876910147009577,0
Fiscal year,Sector ID,0.025063781128185445,0
Fiscal year,Regional program (marker),0.029583045150495525,0
Fiscal year,Fund centre name,0.028374744114250578,0
Fiscal year,Enviromental sustainability (marker),0.028381113229668378,0
Fiscal year,Organisation ID,0.028761005996499302,0
Fiscal year,Status,0.022319521077822042,0
Fiscal year,Maximum CIDA contribution (project-level),0.023421741183731765,0
Fiscal year,CountryRegion name,0.02534458624488558,0
Fiscal year,Division name,0.029630095231558934,0
Fiscal year,Climate change mitigation (marker),0.027323413139340492,0
Fiscal year,Desertification (marker),0.029905849723517675,0
Fiscal year,Organisation sub-class,0.028602989771943005,0
Fiscal year,Youth issues (marker),0.028876910147009577,0
Fiscal year,Section ID,0.024788026636226704,0
Fiscal year,Branch ID,0.025110831209248854,0
Fiscal year,Trade development (marker),0.027445555410213734,0
Fiscal year,Continent name,0.026466610415941876,0
Fiscal year,CountryRegion ID,0.023353339645017155,0
Fiscal year,CFLI (marker),0.029583045150495525,0
Fiscal year,Climate change adaptation (marker),0.027323413139340492,0
Fiscal year,Fund centre ID,0.029131118748264517,0
Fiscal year,Gender equality (marker),0.027969022285384785,0
Fiscal year,Organisation name,0.030437106664114304,0
Fiscal year,Continent ID,0.024179577297733474,0
Fiscal year,Division ID,0.027575884312327083,0
Fiscal year,Untied amount(Project-level budget),0.025575571027140413,0
Fiscal year,Organisation class,0.03001968695762015,0
Fiscal year,Knowledge for development (marker),0.02581699179857046,0
Fiscal year,Organisation type,0.03285814096178042,0
Fiscal year,Indigenous issues (marker),0.029277689473312413,0
Fiscal year,Disability issues (marker),0.032941957599509776,0
Fiscal year,ICT as a tool for development (marker),0.027969022285384785,0
Fiscal year,Project Browser country ID,0.025660471428178462,0
Fiscal year,CountryRegion percent,0.026680825815205377,0
Fiscal year,Sector name,0.027575884312327083,0
Fiscal year,Sector percent,0.02905343942691817,0
Fiscal year,Amount spent,0.024101897976387128,0
Biodiversity (marker),Fiscal year,0.028867233437987975,0
Biodiversity (marker),Biodiversity (marker),0.05223077678874176,1
Biodiversity (marker),CIDA business delivery model (old),0.03183300045262897,0
Biodiversity (marker),Bilateral aid (international marker),0.03617549670948225,0
Biodiversity (marker),Branch name,0.028867233437987975,0
Biodiversity (marker),Urban issues (marker),0.03770457100274506,0
Biodiversity (marker),Sector ID,0.02511519265488127,0
Biodiversity (marker),Regional program (marker),0.036020373230455593,0
Biodiversity (marker),Fund centre name,0.029268012764290814,0
Biodiversity (marker),Enviromental sustainability (marker),0.03736477671535333,0
Biodiversity (marker),Organisation ID,0.025807315089548855,0
Biodiversity (marker),Status,0.023296612854932154,0
Biodiversity (marker),Maximum CIDA contribution (project-level),0.02914817587674701,0
Biodiversity (marker),CountryRegion name,0.028704279206414295,0
Biodiversity (marker),Division name,0.0322317590428328,0
Biodiversity (marker),Climate change mitigation (marker),0.03435914179142462,0
Biodiversity (marker),Desertification (marker),0.0379197740514265,0
Biodiversity (marker),Organisation sub-class,0.02615764563391398,0
Biodiversity (marker),Youth issues (marker),0.0393185938678558,0
Biodiversity (marker),Section ID,0.024835430353568198,0
Biodiversity (marker),Branch ID,0.025054104419163847,0
Biodiversity (marker),Trade development (marker),0.037086434586319675,0
Biodiversity (marker),Continent name,0.03183300045262897,0
Biodiversity (marker),CountryRegion ID,0.025603744638093454,0
Biodiversity (marker),CFLI (marker),0.03628043318058853,0
