source,target,conf,realConf
Fiscal year,Fiscal year,0.052475490750595696,1
Fiscal year,Gender equality (marker),0.028091140708923802,0
Fiscal year,Sector ID,0.025171403249902562,0
Fiscal year,Regional program (marker),0.02971321707504672,0
Fiscal year,Project Browser country ID,0.025776990562248286,0
Fiscal year,Project number,0.029312240242360493,0
Fiscal year,Sector name,0.02770196079526393,0
Fiscal year,Biodiversity (marker),0.029003558664867948,0
Fiscal year,Organisation class,0.030157957299456306,0
Fiscal year,Untied amount(Project-level budget),0.025720828304455216,0
Fiscal year,Section name,0.027298044545992217,0
Fiscal year,Maximum CIDA contribution (project-level),0.023556251481435007,0
Fiscal year,Children issues (marker),0.0300376323482713,0
Fiscal year,Enviromental sustainability (marker),0.02850528786623178,0
Fiscal year,ICT as a tool for development (marker),0.028091140708923802,0
Fiscal year,Amount spent,0.0242398020571256,0
Fiscal year,Section ID,0.02490019252650617,0
Fiscal year,Sector percent,0.02921605024815311,0
Fiscal year,Branch ID,0.02522460779973075,0
Fiscal year,Fund centre ID,0.0292590356925323,0
Fiscal year,Fund centre name,0.02850480667344598,0
Fiscal year,Status,0.02241936984890642,0
Fiscal year,IRTC percent,0.027201854551784838,0
Fiscal year,Division ID,0.02770196079526393,0
Fiscal year,Youth issues (marker),0.029003558664867948,0
Fiscal year,FSTC percent,0.030163907046444068,0
Fiscal year,Knowledge for development (marker),0.02592837222075992,0
Fiscal year,Trade development (marker),0.027565061887478537,0
Fiscal year,CFLI (marker),0.02971321707504672,0
Fiscal year,Indigenous issues (marker),0.02940633776253698,0
Fiscal year,CountryRegion ID,0.023458346867730247,0
Fiscal year,Programming process (new),0.025981576770588113,0
Fiscal year,Participatory development and good governance,0.02687458343433162,0
Fiscal year,Urban issues (marker),0.029003558664867948,0
Fiscal year,Continent name,0.026587151947274,0
Fiscal year,Disability issues (marker),0.03308888951265387,0
Fiscal year,Organisation ID,0.028892995889270266,0
Fiscal year,Organisation name,0.030577459807936365,0
Fiscal year,Organisation type,0.033010574357120744,0
Fiscal year,Organisation sub-class,0.028734191210069416,0
Fiscal year,Continent ID,0.024282787501504793,0
Fiscal year,CountryRegion name,0.02545952920447959,0
Fiscal year,CountryRegion percent,0.026831597989952428,0
Gender equality (marker),Fiscal year,0.028103172223665245,0
Gender equality (marker),Gender equality (marker),0.052489322245544576,1
Gender equality (marker),Sector ID,0.02461910104579633,0
Gender equality (marker),Regional program (marker),0.03650028377947585,0
Gender equality (marker),Project Browser country ID,0.02927106720727374,0
Gender equality (marker),Project number,0.03092046275429978,0
Gender equality (marker),Sector name,0.030049663863012742,0
Gender equality (marker),Biodiversity (marker),0.041134787682684186,0
Gender equality (marker),Organisation class,0.028103172223665245,0
Gender equality (marker),Untied amount(Project-level budget),0.028711137830835495,0
Gender equality (marker),Section name,0.02972524858978816,0
Gender equality (marker),Maximum CIDA contribution (project-level),0.027751849904273106,0
Gender equality (marker),Children issues (marker),0.03687683722161154,0
Gender equality (marker),Enviromental sustainability (marker),0.0388638807701121,0
Gender equality (marker),ICT as a tool for development (marker),0.03380928151309683,0
Gender equality (marker),Amount spent,0.025888541668316525,0
Gender equality (marker),Section ID,0.024381938207265624,0
Gender equality (marker),Sector percent,0.029075779440347515,0
Gender equality (marker),Branch ID,0.024564096515760706,0
Gender equality (marker),Fund centre ID,0.03097546728433541,0
Gender equality (marker),Fund centre name,0.031996155502360235,0
Gender equality (marker),Status,0.022912527852071922,0
Gender equality (marker),IRTC percent,0.025888541668316525,0
Gender equality (marker),Division ID,0.02226369730562276,0
Gender equality (marker),Youth issues (marker),0.0350790359158253,0
Gender equality (marker),FSTC percent,0.025888541668316525,0
Gender equality (marker),Knowledge for development (marker),0.03839403796061442,0
Gender equality (marker),Trade development (marker),0.0388638807701121,0
